,id,study,subgroups,outcomes
0,1,ageberg_2009,hamstring,Tegner
0,1,ageberg_2009,patellar,Tegner
1,2,aglietti_2004,hamstring,Instrumental laxity
1,2,aglietti_2004,hamstring,Lachman
1,2,aglietti_2004,hamstring,Pivot shift
1,2,aglietti_2004,patellar,Instrumental laxity
1,2,aglietti_2004,patellar,Lachman
1,2,aglietti_2004,patellar,Pivot shift
2,3,ahldén_2009,hamstring,Instrumental laxity
2,3,ahldén_2009,hamstring,Lachman
2,3,ahldén_2009,hamstring,Lysholm
2,3,ahldén_2009,hamstring,Tegner
2,3,ahldén_2009,patellar,Instrumental laxity
2,3,ahldén_2009,patellar,Lachman
2,3,ahldén_2009,patellar,Lysholm
2,3,ahldén_2009,patellar,Tegner
3,4,akelman_2016,hamstring,Instrumental laxity
3,4,akelman_2016,patellar,Instrumental laxity
4,5,anderson_2001,hamstring,IKDC
4,5,anderson_2001,hamstring,Instrumental laxity
4,5,anderson_2001,hamstring,Pivot shift
4,5,anderson_2001,patellar,IKDC
4,5,anderson_2001,patellar,Instrumental laxity
4,5,anderson_2001,patellar,Pivot shift
5,6,anz_2023,hamstring,Graft rupture
5,6,anz_2023,patellar,Graft rupture
6,7,aune_2001,hamstring,Instrumental laxity
6,7,aune_2001,patellar,Instrumental laxity
8,9,barenius_2014,hamstring,IKDC
8,9,barenius_2014,hamstring,Instrumental laxity
8,9,barenius_2014,hamstring,Lachman
8,9,barenius_2014,hamstring,Lysholm
8,9,barenius_2014,hamstring,Pivot shift
8,9,barenius_2014,patellar,IKDC
8,9,barenius_2014,patellar,Instrumental laxity
8,9,barenius_2014,patellar,Lachman
8,9,barenius_2014,patellar,Lysholm
8,9,barenius_2014,patellar,Pivot shift
9,10,barié_2020,patellar,Graft rupture
9,10,barié_2020,patellar,IKDC
9,10,barié_2020,patellar,Instrumental laxity
9,10,barié_2020,patellar,Lysholm
9,10,barié_2020,patellar,Tegner
9,10,barié_2020,quadriceps,Graft rupture
9,10,barié_2020,quadriceps,IKDC
9,10,barié_2020,quadriceps,Instrumental laxity
9,10,barié_2020,quadriceps,Lysholm
9,10,barié_2020,quadriceps,Tegner
10,11,beynnon_2002,hamstring,IKDC
10,11,beynnon_2002,hamstring,Instrumental laxity
10,11,beynnon_2002,hamstring,Lachman
10,11,beynnon_2002,hamstring,Pivot shift
10,11,beynnon_2002,hamstring,Tegner
10,11,beynnon_2002,patellar,IKDC
10,11,beynnon_2002,patellar,Instrumental laxity
10,11,beynnon_2002,patellar,Lachman
10,11,beynnon_2002,patellar,Pivot shift
10,11,beynnon_2002,patellar,Tegner
11,12,bi_2018,hamstring,Graft rupture
11,12,bi_2018,hamstring,IKDC
11,12,bi_2018,hamstring,Instrumental laxity
11,12,bi_2018,hamstring,Pivot shift
11,12,bi_2018,peroneus,Graft rupture
11,12,bi_2018,peroneus,IKDC
11,12,bi_2018,peroneus,Instrumental laxity
11,12,bi_2018,peroneus,Pivot shift
12,13,björnsson_2016,hamstring,IKDC
12,13,björnsson_2016,hamstring,Instrumental laxity
12,13,björnsson_2016,hamstring,Lysholm
12,13,björnsson_2016,hamstring,Tegner
12,13,björnsson_2016,patellar,IKDC
12,13,björnsson_2016,patellar,Instrumental laxity
12,13,björnsson_2016,patellar,Lysholm
12,13,björnsson_2016,patellar,Tegner
13,14,bottoni_2015,hamstring,IKDC
13,14,bottoni_2015,hamstring,Tegner
13,14,bottoni_2015,tibialis,IKDC
13,14,bottoni_2015,tibialis,Tegner
15,16,breker_2025,hamstring,Instrumental laxity
15,16,breker_2025,patellar,Instrumental laxity
17,18,butt_2024,hamstring,IKDC
17,18,butt_2024,hamstring,Lachman
17,18,butt_2024,hamstring,Lysholm
17,18,butt_2024,hamstring,Pivot shift
17,18,butt_2024,peroneus,IKDC
17,18,butt_2024,peroneus,Lachman
17,18,butt_2024,peroneus,Lysholm
17,18,butt_2024,peroneus,Pivot shift
18,19,calvert_2025,hamstring,IKDC
18,19,calvert_2025,hamstring,Instrumental laxity
18,19,calvert_2025,quadriceps,IKDC
18,19,calvert_2025,quadriceps,Instrumental laxity
21,22,cruz_2022,hamstring,Graft rupture
21,22,cruz_2022,tibialis,Graft rupture
22,23,ejerhed_2003,hamstring,Instrumental laxity
22,23,ejerhed_2003,hamstring,Lachman
22,23,ejerhed_2003,hamstring,Lysholm
22,23,ejerhed_2003,hamstring,Tegner
22,23,ejerhed_2003,patellar,Instrumental laxity
22,23,ejerhed_2003,patellar,Lachman
22,23,ejerhed_2003,patellar,Lysholm
22,23,ejerhed_2003,patellar,Tegner
24,25,eriksson_2006,hamstring,Instrumental laxity
24,25,eriksson_2006,hamstring,Pivot shift
24,25,eriksson_2006,patellar,Instrumental laxity
24,25,eriksson_2006,patellar,Pivot shift
25,26,feller_webster_2003,hamstring,IKDC
25,26,feller_webster_2003,hamstring,Instrumental laxity
25,26,feller_webster_2003,hamstring,Lachman
25,26,feller_webster_2003,hamstring,Pivot shift
25,26,feller_webster_2003,patellar,IKDC
25,26,feller_webster_2003,patellar,Instrumental laxity
25,26,feller_webster_2003,patellar,Lachman
25,26,feller_webster_2003,patellar,Pivot shift
27,28,gerber_2007,hamstring,Instrumental laxity
27,28,gerber_2007,patellar,Instrumental laxity
29,30,gifstad_2013,hamstring,Instrumental laxity
29,30,gifstad_2013,hamstring,Lachman
29,30,gifstad_2013,hamstring,Lysholm
29,30,gifstad_2013,hamstring,Tegner
29,30,gifstad_2013,patellar,Instrumental laxity
29,30,gifstad_2013,patellar,Lachman
29,30,gifstad_2013,patellar,Lysholm
29,30,gifstad_2013,patellar,Tegner
30,31,gobbi_francisco_2006,hamstring,IKDC
30,31,gobbi_francisco_2006,hamstring,Instrumental laxity
30,31,gobbi_francisco_2006,hamstring,Lysholm
30,31,gobbi_francisco_2006,hamstring,Tegner
30,31,gobbi_francisco_2006,patellar,IKDC
30,31,gobbi_francisco_2006,patellar,Instrumental laxity
30,31,gobbi_francisco_2006,patellar,Lysholm
