study,subgroups,outcomes
"Ageberg, 2009","patellar, hamstring",Tegner
"Aglietti, 2004","patellar, hamstring","Lachman, Pivot shift, Instrumental laxity"
"Ahldén, 2009","patellar, hamstring","Tegner, Lysholm, Lachman, Instrumental laxity"
"Akelman, 2016","patellar, hamstring",Instrumental laxity
"Anderson, 2001","patellar, hamstring","IKDC, Instrumental laxity, Pivot shift"
"Anz, 2023","patellar, hamstring",Graft rupture
"Aune, 2001","patellar, hamstring",Instrumental laxity
"Barenius, 2014","patellar, hamstring","IKDC, Lysholm, Lachman, Pivot shift, Instrumental laxity"
"Barié, 2020","patellar, quadriceps","IKDC, Lysholm, Tegner, Instrumental laxity, Graft rupture"
"Beynnon, 2002","patellar, hamstring","IKDC, Tegner, Instrumental laxity, Pivot shift, Lachman"
"Bi, 2018","hamstring, peroneus","IKDC, Instrumental laxity, Pivot shift, Graft rupture"
"Björnsson, 2016","patellar, hamstring","Instrumental laxity, IKDC, Tegner, Lysholm"
"Bottoni, 2015","hamstring, tibialis","IKDC, Tegner"
"Breker, 2025","patellar, hamstring",Instrumental laxity
"Butt, 2024","hamstring, peroneus","Lysholm, IKDC, Lachman, Pivot shift"
"Calvert, 2025","hamstring, quadriceps","IKDC, Instrumental laxity"
"Cruz, 2022","hamstring, tibialis",Graft rupture
"Ejerhed, 2003","patellar, hamstring","Tegner, Lysholm, Instrumental laxity, Lachman"
"Eriksson, 2006","patellar, hamstring","Instrumental laxity, Pivot shift"
"Feller, Webster, 2003","patellar, hamstring","IKDC, Instrumental laxity, Pivot shift, Lachman"
"Gerber, 2007","patellar, hamstring",Instrumental laxity
"Gifstad, 2013","patellar, hamstring","Tegner, Lysholm, Instrumental laxity, Lachman"
"Gobbi, Francisco, 2006","patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity"
"Guglielmetti, 2021","patellar, hamstring","IKDC, Lysholm, Pivot shift, Lachman"
"Harilainen, 2006","patellar, hamstring","IKDC, Tegner, Lysholm, Instrumental laxity, Pivot shift"
"Heijne, Werner, 2010","patellar, hamstring","Tegner, Instrumental laxity, Pivot shift"
"Holm, 2010","patellar, hamstring","Instrumental laxity, Tegner"
"Horstmann, 2022","hamstring, quadriceps","IKDC, Lysholm, Instrumental laxity"
"Ibrahim, 2005","patellar, hamstring","Lachman, Lysholm, Instrumental laxity, Pivot shift"
"Iliopoulos, 2017","patellar, hamstring","IKDC, Lysholm, Pivot shift, Lachman"
