id,study,subgroup,ni,0,1+,2+,3+
2,"Aglietti et al., 2004",BPTB,60,50 (83%),10 (17%),0 (0%),0 (0%)
2,"Aglietti et al., 2004",HT,60,49 (82%),11 (18%),0 (0%),0 (0%)
5,"Anderson et al., 2001",BPTB,35,17 (49%),3 (9%),8 (23%),7 (20%)
5,"Anderson et al., 2001",HT,70,34 (49%),9 (13%),16 (23%),11 (16%)
11,"Beynnon et al., 2002",BPTB,22,19 (86%),3 (14%),0 (0%),0 (0%)
11,"Beynnon et al., 2002",HT,22,13 (59%),3 (14%),6 (27%),0 (0%)
12,"Bi et al., 2018",HT,62,58 (94%),3 (5%),1 (2%),0 (0%)
12,"Bi et al., 2018",PLT,62,57 (92%),5 (8%),0 (0%),0 (0%)
13,"Björnsson et al., 2016",BPTB,60,34 (57%),14 (23%),12 (20%),0 (0%)
13,"Björnsson et al., 2016",HT,86,58 (67%),15 (17%),12 (14%),1 (1%)
25,"Eriksson et al., 2001",BPTB,42,36 (86%),6 (14%),0 (0%),0 (0%)
25,"Eriksson et al., 2001",HT,47,28 (60%),19 (40%),0 (0%),0 (0%)
26,"Feller & Webster, 2003",BPTB,42,40 (95%),2 (5%),0 (0%),0 (0%)
26,"Feller & Webster, 2003",HT,47,38 (81%),9 (19%),0 (0%),0 (0%)
32,"Guglielmetti et al., 2021",BPTB,31,24 (77%),5 (16%),0 (0%),2 (6%)
32,"Guglielmetti et al., 2021",HT,31,20 (65%),8 (26%),2 (6%),1 (3%)
33,"Harilainen et al., 2006",BPTB,37,33 (89%),4 (11%),0 (0%),0 (0%)
33,"Harilainen et al., 2006",HT,37,33 (89%),3 (8%),1 (3%),0 (0%)
34,"Heijne & Werner, 2010",BPTB,30,17 (57%),10 (33%),3 (10%),0 (0%)
34,"Heijne & Werner, 2010",HT,29,8 (28%),13 (45%),7 (24%),1 (3%)
36,"Horstmann et al., 2022",HT,26,26 (100%),0 (0%),0 (0%),0 (0%)
36,"Horstmann et al., 2022",QT,23,23 (100%),0 (0%),0 (0%),0 (0%)
37,"Ibrahim et al., 2005",BPTB,40,35 (88%),5 (13%),0 (0%),0 (0%)
37,"Ibrahim et al., 2005",HT,45,37 (82%),8 (18%),0 (0%),0 (0%)
41,"Jansson et al., 2003",BPTB,43,40 (93%),3 (7%),0 (0%),0 (0%)
41,"Jansson et al., 2003",HT,46,43 (93%),3 (7%),0 (0%),0 (0%)
46,"Laoruengthana et al., 2009",BPTB,15,13 (87%),2 (13%),0 (0%),0 (0%)
46,"Laoruengthana et al., 2009",HT,13,11 (85%),2 (15%),0 (0%),0 (0%)
47,"Lawhorn et al., 2012",HT,54,48 (89%),5 (9%),0 (0%),1 (2%)
47,"Lawhorn et al., 2012",TA,48,44 (92%),4 (8%), (0%), (0%)
51,"Li et al., 2015",HT,32,28 (88%),4 (13%),0 (0%),0 (0%)
51,"Li et al., 2015",TA,32,23 (72%),8 (25%),1 (3%),0 (0%)
53,"Lind et al., 2020",HT,49,38 (78%),11 (22%),0 (0%),0 (0%)
53,"Lind et al., 2020",QT,47,39 (83%),8 (17%),0 (0%),0 (0%)
70,"Noh et al., 2011",HT,33,27 (82%),5 (15%),1 (3%),0 (0%)
70,"Noh et al., 2011",AT,32,21 (66%),8 (25%),3 (9%),0 (0%)
76,"Pinczewski et al., 2007",BPTB,53,48 (91%),5 (9%),0 (0%),0 (0%)
76,"Pinczewski et al., 2007",HT,58,50 (86%),8 (14%),0 (0%),0 (0%)
77,"Popovic et al., 2024",BPTB,38,,,1 (3%),0 (0%)
77,"Popovic et al., 2024",HT,33,,,3 (9%),0 (0%)
82,"Sajovic et al., 2018",BPTB,24,19 (79%),5 (21%),0 (0%),0 (0%)
82,"Sajovic et al., 2018",HT,24,18 (75%),6 (25%),0 (0%),0 (0%)
97,"Yadav et al., 2025",HT,36,31 (86%),4 (11%),1 (3%),0 (0%)
97,"Yadav et al., 2025",QT,33,33 (100%),0 (0%),0 (0%),0 (0%)
98,"Yoo et al., 2017",HT,68,42 (62%),24 (35%),2 (3%),0 (0%)
98,"Yoo et al., 2017",TA,64,31 (48%),30 (47%),1 (2%),2 (3%)
