,,,,,,,,,,,,,,,,,,,,
,,DONE,478,,,Set Lachman and pivot shift at 1+,,,,,,,,,,,,,,
,,TODO,17,,,https://plotdigitizer.com/app,,,,,,,,,,,,,,
,,% COMPLETED,96.57%,,,,,,,,,,,,,,,,,
,id,,study,download,view,screening,subgroup,data_type,outcome,ni,xi,sdi,a,q1,m,q3,b,yi,sei,
5,1,☑,"Ageberg et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ageberg_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ageberg_2009.pdf,Included,patellar,continuous,tegner,16,4.17,1.41,2,,4,,7,,,
6,1,☑,"Ageberg et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ageberg_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ageberg_2009.pdf,Included,hamstring,continuous,tegner,20,3.15,1.34,1,,3,,6,,,
7,2,☑,"Aglietti et al., 2004",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/aglietti_2004.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/aglietti_2004.pdf,Included,patellar,dichotomous,lachman,60,0,0.06,,,,,,,,
8,2,☑,"Aglietti et al., 2004",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/aglietti_2004.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/aglietti_2004.pdf,Included,patellar,dichotomous,pivot shift,60,0,0.06,,,,,,,,
9,2,☑,"Aglietti et al., 2004",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/aglietti_2004.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/aglietti_2004.pdf,Included,patellar,continuous,instrumental laxity,60,2.20,1.08,0,,,,5,,,
10,2,☑,"Aglietti et al., 2004",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/aglietti_2004.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/aglietti_2004.pdf,Included,hamstring,dichotomous,lachman,60,0,0.06,,,,,,,,
11,2,☑,"Aglietti et al., 2004",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/aglietti_2004.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/aglietti_2004.pdf,Included,hamstring,dichotomous,pivot shift,60,0,0.06,,,,,,,,
12,2,☑,"Aglietti et al., 2004",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/aglietti_2004.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/aglietti_2004.pdf,Included,hamstring,continuous,instrumental laxity,60,1.95,1.30,-1,,,,5,,,
,3,☑,"Ahldén et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ahldén_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ahldén_2009.pdf,Excluded,patellar,continuous,ikdc,,,,,,,,,,,
14,3,☑,"Ahldén et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ahldén_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ahldén_2009.pdf,Included,patellar,continuous,lysholm,25,80.70,21.64,15,,89,,100,,,
15,3,☑,"Ahldén et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ahldén_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ahldén_2009.pdf,Included,patellar,continuous,tegner,25,4.87,2.29,0,,5,,9,,,
16,3,☑,"Ahldén et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ahldén_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ahldén_2009.pdf,Included,patellar,continuous,instrumental laxity,25,2.60,3.30,,,,,,,,
,3,☑,"Ahldén et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ahldén_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ahldén_2009.pdf,Excluded,hamstring,continuous,ikdc,,,,,,,,,,,
18,3,☑,"Ahldén et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ahldén_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ahldén_2009.pdf,Included,hamstring,continuous,lysholm,22,79.16,13.35,49,,81,,100,,,
19,3,☑,"Ahldén et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ahldén_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ahldén_2009.pdf,Included,hamstring,continuous,tegner,22,4.86,1.31,2,,5,,7,,,
20,3,☑,"Ahldén et al., 2009",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ahldén_2009.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ahldén_2009.pdf,Included,hamstring,continuous,instrumental laxity,22,1.40,2.60,,,,,,,,
,4,☑,"Akelman et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/akelman_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/akelman_2016.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
,4,☑,"Akelman et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/akelman_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/akelman_2016.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
,5,☑,"Anderson et al., 2001",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/anderson_2001.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/anderson_2001.pdf,Excluded,patellar,continuous,ikdc,,,,,,,,,,,
24,5,☑,"Anderson et al., 2001",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/anderson_2001.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/anderson_2001.pdf,Included,patellar,continuous,instrumental laxity,35,2.10,2.00,,,,,,,,
25,5,☑,"Anderson et al., 2001",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/anderson_2001.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/anderson_2001.pdf,Included,patellar,dichotomous,pivot shift,35,7,1.58,,,,,,,,
,5,☑,"Anderson et al., 2001",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/anderson_2001.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/anderson_2001.pdf,Excluded,hamstring,continuous,ikdc,,,,,,,,,,,
27,5,☑,"Anderson et al., 2001",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/anderson_2001.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/anderson_2001.pdf,Included,hamstring,continuous,instrumental laxity,33,3.10,2.30,,,,,,,,
28,5,☑,"Anderson et al., 2001",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/anderson_2001.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/anderson_2001.pdf,Included,hamstring,dichotomous,pivot shift,33,8,1.95,,,,,,,,
25,6,☑,"Anz et al., 2023",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/anz_2023.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/anz_2023.pdf,Included,patellar,dichotomous,graft rupture,16,0,0.13,,,,,,,,
26,6,☑,"Anz et al., 2023",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/anz_2023.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/anz_2023.pdf,Included,hamstring,dichotomous,graft rupture,16,0,0.13,,,,,,,,
31,7,☑,"Aune et al., 2001",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/aune_2001.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/aune_2001.pdf,Included,patellar,continuous,instrumental laxity,32,3.30,2.60,,,,,,,,
32,7,☑,"Aune et al., 2001",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/aune_2001.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/aune_2001.pdf,Included,hamstring,continuous,instrumental laxity,29,2.90,2.40,,,,,,,,
33,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Included,patellar,continuous,tegner,78,5.80,1.87,0,,6,,9,,,
34,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Included,patellar,continuous,lysholm,78,85.82,11.83,43,,88,,100,,,
,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Excluded,patellar,dichotomous,lachman,,,,,,,,,,,
,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Excluded,patellar,dichotomous,pivot shift,,,,,,,,,,,
,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
38,9,☑,"Barenius et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/barenius_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/barenius_2010.pdf,Included,hamstring,continuous,tegner,75,4.07,1.88,0,,4,,9,,,
