,study,treat1,treat2,n1,n2,m1,m2,sd1,sd2
0,"Aglietti et al., 2004",BPTB,HT,60,60,2.2,1.95,1.08,1.3
1,"Ahldén et al., 2009",BPTB,HT,25,22,2.6,1.4,3.3,2.6
2,"Anderson et al., 2001",BPTB,HT,35,33,2.1,3.1,2.0,2.3
3,"Aune et al., 2001",BPTB,HT,32,29,3.3,2.9,2.6,2.4
4,"Barié et al., 2020",BPTB,QT,43,43,1.05,1.0,1.36,1.1
5,"Bi et al., 2018",HT,PLT,62,62,1.71,1.85,0.57,0.77
6,"Ejerhed et al., 2003",BPTB,HT,32,34,2.29,2.47,3.99,3.47
7,"Eriksson et al., 2001",BPTB,HT,42,47,0.95,1.1,0.91,0.95
8,"Feller & Webster, 2003",BPTB,HT,27,21,0.5,1.1,1.0,1.2
9,"Gifstad et al., 2013",BPTB,HT,41,36,1.4,1.4,1.8,1.4
10,"Harilainen et al., 2006",BPTB,HT,37,37,1.5,1.2,3.0,3.9
11,"Holm et al., 2010",BPTB,HT,28,29,3.0,2.0,3.2,3.5
12,"Horstmann et al., 2022",HT,QT,26,23,0.2,0.7,2.2,1.1
13,"Jansson et al., 2003",BPTB,HT,43,46,1.7,1.2,2.63,2.65
14,"Kautzner et al., 2015",BPTB,HT,74,73,0.6,0.5,0.21,0.42
15,"Konrads et al., 2016",BPTB,HT,24,23,1.8,2.2,0.51,0.78
16,"Laoruengthana et al., 2009",BPTB,HT,15,13,1.22,0.96,0.69,0.42
17,"Laxdal et al., 2005",BPTB,HT,40,78,1.0,1.5,3.01,3.12
18,"Li et al., 2015",HT,TA,32,32,2.1,3.5,1.6,1.2
19,"Lidén et al., 2007",BPTB,HT,30,32,2.3,2.7,3.06,3.39
20,"Lind et al., 2020",HT,QT,49,47,1.9,1.8,1.7,1.0
21,"Lucidi et al., 2025",BPTB,HT,19,20,-0.1,1.5,1.6,1.2
22,"Lui et al., 2012",BPTB,HT,14,17,3.7,3.1,1.4,1.6
23,"Lund et al., 2014",BPTB,QT,18,21,1.1,0.8,1.4,1.7
24,"Malik et al., 2026",HT,PLT,25,25,2.1,1.8,1.0,0.9
25,"Matsumoto et al., 2006",BPTB,HT,37,35,1.2,1.7,2.1,1.4
26,"Pinczewski et al., 2007",BPTB,HT,54,58,1.2,1.6,1.69,1.55
27,"Popovic et al., 2024",BPTB,HT,38,33,1.3,1.5,2.2,3.3
28,"Smith et al., 2020",BPTB,HT,32,32,0.0,0.3,0.8,0.7
29,"Sonnery-cottet et al., 2026",BPTB,HT,296,297,1.2,0.9,1.4,1.0
30,"Webster et al., 2001",BPTB,HT,23,31,1.1,1.7,0.65,0.97
31,"Wipfler et al., 2011",BPTB,HT,29,25,0.9,0.64,0.27,0.36
32,"Yadav et al., 2025",HT,QT,36,33,3.77,2.73,2.01,1.64
33,"Yoo et al., 2017",HT,TA,68,64,2.2,2.5,0.0,0.0
34,"Zaffagnini et al., 2011",BPTB,HT,40,39,0.4,1.1,0.6,1.9
