,study,treat1,treat2,n1,n2,m1,m2,sd1,sd2,smd,se
0,"Ahldén et al., 2009",BPTB,HT,25,22,80,79,21,13,0.056,0.292
1,"Barenius et al., 2010",BPTB,HT,78,75,85,86,11,12,0.087,0.162
2,"Barié et al., 2020",BPTB,QT,43,43,95,95,6,7,0.0,0.216
3,"Björnsson et al., 2016",BPTB,HT,61,86,79,80,16,15,0.065,0.167
4,"Butt et al., 2024",HT,PLT,30,30,95,94,5,6,0.181,0.259
5,"Calvert et al., 2025",HT,QT,92,89,94,93,7,8,0.133,0.149
6,"Ejerhed et al., 2003",BPTB,HT,32,34,89,86,13,11,0.25,0.247
7,"Guglielmetti et al., 2021",BPTB,HT,31,31,89,91,9,9,0.222,0.255
8,"Harilainen et al., 2006",BPTB,HT,37,37,89,95,15,15,0.4,0.235
9,"Holm et al., 2010",BPTB,HT,28,29,84,86,15,15,0.133,0.265
10,"Horstmann et al., 2022",HT,QT,26,23,83,90,17,11,0.483,0.291
11,"Ibrahim et al., 2005",BPTB,HT,40,46,91,92,3,3,0.333,0.218
12,"Iliopoulos et al., 2017",BPTB,HT,45,45,95,94,2,3,0.392,0.213
13,"Kautzner et al., 2015",BPTB,HT,74,73,88,90,7,7,0.286,0.166
14,"Komzak et al., 2022",BPTB,QT,36,36,93,90,9,6,0.392,0.238
15,"Konrads et al., 2016",BPTB,HT,24,23,92,91,8,9,0.118,0.292
16,"Laxdal et al., 2005",BPTB,HT,40,78,94,92,18,13,0.135,0.195
17,"Li et al., 2015",HT,TA,32,32,91,88,11,8,0.312,0.252
18,"Lidén et al., 2007",BPTB,HT,30,32,81,90,18,12,0.592,0.26
19,"Lucidi et al., 2025",BPTB,HT,19,20,84,88,10,8,0.443,0.324
20,"Lui et al., 2012",BPTB,HT,14,17,84,80,13,15,0.283,0.363
21,"Malik et al., 2026",HT,PLT,25,25,85,89,6,5,0.724,0.292
22,"Moraiti et al., 2010",BPTB,HT,6,6,96,95,3,5,0.243,0.58
23,"Noh et al., 2011",HT,AT,33,32,98,99,3,3,0.333,0.25
24,"Papalia et al., 2015",BPTB,HT,20,20,87,93,13,10,0.517,0.322
25,"Popovic et al., 2024",BPTB,HT,38,33,82,85,15,14,0.206,0.239
26,"Sonnery-cottet et al., 2026",BPTB,HT,296,297,89,91,12,11,0.174,0.082
27,"Tang et al., 2023",HT,QT,16,17,90,90,7,4,0.0,0.348
28,"Taylor et al., 2009",BPTB,HT,21,23,90,90,12,12,0.0,0.302
29,"Vilchez-cavazos et al., 2020",BPTB,QT,14,14,96,95,2,2,0.5,0.384
30,"Wipfler et al., 2011",BPTB,HT,29,25,87,91,1,1,4.0,0.478
32,"Yoo et al., 2017",HT,TA,68,64,96,93,6,5,0.542,0.177
,,,,,,,,,,,
