,study,treat1,treat2,n1,n2,m1,m2,sd1,sd2,smd,se
0,"Ageberg et al., 2009",BPTB,HT,16,20,4,3,1,1,1.0,0.357
1,"Ahldén et al., 2009",BPTB,HT,25,22,4,4,2,1,0.0,0.292
2,"Barenius et al., 2010",BPTB,HT,78,75,5,4,1,1,1.0,0.172
3,"Barié et al., 2020",BPTB,QT,43,43,6,6,1,1,0.0,0.216
4,"Björnsson et al., 2016",BPTB,HT,61,86,4,4,1,1,0.0,0.167
5,"Bottoni et al., 2015",HT,TA,44,36,5,5,2,2,0.0,0.225
6,"Ejerhed et al., 2003",BPTB,HT,32,34,5,6,1,1,1.0,0.262
7,"Harilainen et al., 2006",BPTB,HT,37,37,5,6,2,1,0.632,0.238
8,"Heijne & Werner, 2010",BPTB,HT,30,29,6,5,2,1,0.629,0.267
9,"Jansson et al., 2003",BPTB,HT,43,46,5,5,1,2,0.0,0.212
10,"Konrads et al., 2016",BPTB,HT,24,23,5,5,1,1,0.0,0.292
11,"Laxdal et al., 2005",BPTB,HT,40,78,6,4,1,1,2.0,0.235
12,"Li et al., 2015",HT,TA,32,32,7,7,1,2,0.0,0.25
13,"Lidén et al., 2007",BPTB,HT,30,32,5,6,1,1,1.0,0.27
14,"Lind et al., 2020",HT,QT,49,47,5,6,1,1,1.0,0.217
15,"Lucidi et al., 2025",BPTB,HT,19,20,3,4,1,0,1.434,0.361
16,"Malik et al., 2026",HT,PLT,25,25,5,5,1,0,0.0,0.283
17,"Noh et al., 2011",HT,AT,33,32,6,6,0,1,0.0,0.248
18,"Popovic et al., 2024",BPTB,HT,38,33,4,5,1,2,0.647,0.244
19,"Sonnery-cottet et al., 2026",BPTB,HT,296,297,6,6,1,1,0.0,0.082
20,"Taylor et al., 2009",BPTB,HT,20,24,6,5,3,3,0.333,0.305
21,"Wipfler et al., 2011",BPTB,HT,29,25,6,6,0,0,,
22,"Yoo et al., 2017",HT,TA,68,64,5,5,1,1,0.0,0.174
