,study,treat1,treat2,n1,n2,y1,y2,sd1,sd2
0,"Anz et al., 2023",BPTB,HT,16,16,0.03,0.03,0.172,0.172
1,"Kautzner et al., 2015",BPTB,HT,74,73,0.007,0.034,0.086,0.179
2,"Laxdal et al., 2005",BPTB,HT,40,78,0.037,0.032,0.19,0.177
3,"Lucidi et al., 2025",BPTB,HT,19,20,0.385,0.171,0.488,0.376
4,"Mohtadi et al., 2016",BPTB,HT,110,110,0.176,0.222,0.378,0.42
5,"Pinczewski et al., 2007",BPTB,HT,90,90,0.083,0.138,0.275,0.342
6,"Popovic et al., 2024",BPTB,HT,38,33,0.091,0.134,0.29,0.339
7,"Smith et al., 2020",BPTB,HT,32,32,0.015,0.077,0.119,0.266
8,"Sonnery-cottet et al., 2026",BPTB,HT,273,283,0.046,0.044,0.215,0.202
9,"Taylor et al., 2009",BPTB,HT,32,32,0.108,0.138,0.311,0.345
10,"Wipfler et al., 2011",BPTB,HT,29,25,0.119,0.137,0.323,0.345
11,"Yadav et al., 2025",HT,QT,36,33,0.041,0.015,0.198,0.121
