,study,treat1,treat2,n1,n2,m1,m2,sd1,sd2,smd,se
0,"Ahldén et al., 2009",BPTB,HT,25,22,80.7,79.16,21.64,13.35,0.084,0.292
1,"Barenius et al., 2010",BPTB,HT,78,75,85.82,86.42,11.83,12.53,0.049,0.162
2,"Barié et al., 2020",BPTB,QT,43,43,95.2,95.6,6.6,7.8,0.055,0.216
3,"Björnsson et al., 2016",BPTB,HT,61,86,79.4,80.7,16.9,15.3,0.081,0.167
4,"Butt et al., 2024",HT,PLT,30,30,95.1,94.5,5.2,6.4,0.103,0.258
5,"Calvert et al., 2025",HT,QT,92,89,94.0,93.0,7.0,8.0,0.133,0.149
6,"Ejerhed et al., 2003",BPTB,HT,32,34,89.96,86.79,13.06,11.71,0.256,0.247
7,"Guglielmetti et al., 2021",BPTB,HT,31,31,89.87,91.26,9.17,9.36,0.15,0.254
8,"Harilainen et al., 2006",BPTB,HT,37,37,89.11,95.0,15.53,15.53,0.379,0.235
9,"Holm et al., 2010",BPTB,HT,28,29,84.2,86.1,15.4,15.1,0.125,0.265
10,"Horstmann et al., 2022",HT,QT,26,23,83.5,90.4,17.4,11.9,0.458,0.29
11,"Ibrahim et al., 2005",BPTB,HT,40,46,91.6,92.7,3.94,3.62,0.292,0.217
12,"Iliopoulos et al., 2017",BPTB,HT,45,45,95.8,94.0,2.4,3.6,0.588,0.215
13,"Kautzner et al., 2015",BPTB,HT,74,73,88.0,90.0,7.5,7.6,0.265,0.166
14,"Komzak et al., 2022",BPTB,QT,36,36,93.4,90.1,9.6,6.7,0.399,0.238
15,"Konrads et al., 2016",BPTB,HT,24,23,92.0,91.8,8.99,9.33,0.022,0.292
16,"Laxdal et al., 2005",BPTB,HT,40,78,94.0,92.0,18.09,13.4,0.132,0.195
17,"Li et al., 2015",HT,TA,32,32,91.3,88.7,11.5,8.6,0.256,0.251
18,"Lidén et al., 2007",BPTB,HT,30,32,81.0,90.0,18.38,12.1,0.582,0.26
19,"Lucidi et al., 2025",BPTB,HT,19,20,84.8,88.6,10.3,8.3,0.407,0.324
20,"Lui et al., 2012",BPTB,HT,14,17,84.0,80.0,13.47,15.59,0.273,0.363
21,"Malik et al., 2026",HT,PLT,25,25,85.1,89.4,6.4,5.8,0.704,0.292
22,"Moraiti et al., 2010",BPTB,HT,6,6,96.0,95.0,3.0,5.0,0.243,0.58
23,"Noh et al., 2011",HT,AT,33,32,98.0,99.0,3.61,3.63,0.276,0.249
24,"Papalia et al., 2015",BPTB,HT,20,20,87.4,93.17,13.8,10.3,0.474,0.321
25,"Popovic et al., 2024",BPTB,HT,38,33,82.0,85.0,15.45,14.67,0.199,0.239
26,"Sonnery-cottet et al., 2026",BPTB,HT,296,297,89.0,91.1,12.4,11.9,0.173,0.082
27,"Tang et al., 2023",HT,QT,16,17,90.06,90.0,7.33,4.26,0.01,0.348
28,"Taylor et al., 2009",BPTB,HT,21,23,90.3,90.4,12.19,12.75,0.008,0.302
29,"Vilchez-cavazos et al., 2020",BPTB,QT,14,14,96.0,95.33,2.93,2.64,0.24,0.379
30,"Wipfler et al., 2011",BPTB,HT,29,25,87.28,91.82,1.76,1.71,2.614,0.374
31,"Yadav et al., 2025",HT,QT,36,33,92.4,88.2,3.36,4.32,1.091,0.259
32,"Yoo et al., 2017",HT,TA,68,64,96.0,93.0,6.99,5.78,0.466,0.177
