,study,treat1,treat2,n1,n2,y1,y2,sd1,sd2,group,smd,se_smd
0,"Beynnon et al., 2002",BPTB,HT,22,22,0.556,0.867,0.249,0.117,1,1.599,0.348
1,"Björnsson et al., 2016",BPTB,HT,61,86,0.512,0.78,0.25,0.176,1,1.277,0.183
2,"Ejerhed et al., 2003",BPTB,HT,32,33,0.446,0.522,0.249,0.247,1,0.306,0.25
3,"Feller & Webster, 2003",BPTB,HT,42,47,0.153,0.411,0.13,0.24,1,1.316,0.235
4,"Gifstad et al., 2013",BPTB,HT,45,32,0.363,0.415,0.228,0.243,1,0.222,0.232
5,"Guglielmetti et al., 2021",BPTB,HT,31,31,0.302,0.302,0.212,0.212,1,0.0,0.254
6,"Harilainen et al., 2006",BPTB,HT,37,37,0.227,0.173,0.176,0.146,1,0.334,0.234
7,"Ibrahim et al., 2005",BPTB,HT,40,46,0.136,0.161,0.12,0.136,1,0.194,0.217
8,"Jansson et al., 2003",BPTB,HT,43,46,0.195,0.183,0.157,0.149,1,0.078,0.212
9,"Konrads et al., 2016",BPTB,HT,24,23,0.347,0.489,0.225,0.249,1,0.599,0.299
10,"Li et al., 2015",HT,TA,32,32,0.2,0.415,0.158,0.243,1,1.049,0.267
11,"Lidén et al., 2007",BPTB,HT,30,32,0.738,0.785,0.192,0.17,1,0.26,0.255
12,"Lui et al., 2012",BPTB,HT,14,38,0.31,0.169,0.213,0.142,1,0.863,0.324
13,"Lund et al., 2014",BPTB,QT,18,21,0.243,0.256,0.182,0.192,1,0.069,0.321
14,"Noh et al., 2011",HT,AT,33,32,0.194,0.2,0.155,0.158,1,0.038,0.248
15,"Pinczewski et al., 2007",BPTB,HT,53,58,0.196,0.214,0.16,0.168,1,0.11,0.19
16,"Sajovic et al., 2018",BPTB,HT,24,24,0.224,0.224,0.171,0.171,1,0.0,0.289
17,"Yadav et al., 2025",HT,QT,36,33,0.589,0.284,0.24,0.201,1,1.372,0.269
18,"Yoo et al., 2017",HT,TA,68,64,0.518,0.535,0.247,0.248,1,0.069,0.174
