,study,treat1,treat2,n1,n2,y1,y2,sd1,sd2
0,"Beynnon et al., 2002",BPTB,HT,22,22,0.111,0.6,0.098,0.239
1,"Björnsson et al., 2016",BPTB,HT,61,86,0.122,0.249,0.109,0.185
2,"Ejerhed et al., 2003",BPTB,HT,32,33,0.077,0.015,0.074,0.017
3,"Feller & Webster, 2003",BPTB,HT,42,47,0.012,0.011,0.013,0.014
4,"Gifstad et al., 2013",BPTB,HT,45,32,0.033,0.046,0.034,0.045
5,"Guglielmetti et al., 2021",BPTB,HT,31,31,0.079,0.111,0.072,0.1
6,"Harilainen et al., 2006",BPTB,HT,37,37,0.013,0.04,0.012,0.036
7,"Ibrahim et al., 2005",BPTB,HT,40,46,0.012,0.011,0.013,0.014
8,"Jansson et al., 2003",BPTB,HT,43,46,0.011,0.011,0.013,0.014
9,"Konrads et al., 2016",BPTB,HT,24,23,0.02,0.106,0.02,0.096
10,"Li et al., 2015",HT,TA,32,32,0.077,0.138,0.074,0.119
11,"Lidén et al., 2007",BPTB,HT,30,32,0.049,0.077,0.049,0.074
12,"Lui et al., 2012",BPTB,HT,14,38,0.034,0.013,0.034,0.012
13,"Lund et al., 2014",BPTB,QT,18,21,0.081,0.07,0.076,0.064
14,"Noh et al., 2011",HT,AT,33,32,0.045,0.108,0.04,0.096
15,"Pinczewski et al., 2007",BPTB,HT,53,58,0.009,0.026,0.007,0.023
16,"Popovic et al., 2024",BPTB,HT,38,33,0.013,0.164,0.012,0.138
17,"Sajovic et al., 2018",BPTB,HT,24,24,0.02,0.02,0.02,0.02
18,"Yadav et al., 2025",HT,QT,36,33,0.26,0.104,0.192,0.092
19,"Yoo et al., 2017",HT,TA,68,64,0.066,0.101,0.058,0.088
