id,study,subgroup,outcome,n,mean,sd
10.0,"Barié et al., 2020",BPTB,ikdc,43,91.0,7.3
10.0,"Barié et al., 2020",QT,ikdc,43,92.0,11.5
12.0,"Bi et al., 2018",HT,ikdc,62,90.4,7.1
12.0,"Bi et al., 2018",PLT,ikdc,62,89.3,8.4
13.0,"Björnsson et al., 2016",BPTB,ikdc,61,67.3,20.8
13.0,"Björnsson et al., 2016",HT,ikdc,86,74.0,18.8
14.0,"Bottoni et al., 2015",HT,ikdc,44,79.5,24.7
14.0,"Bottoni et al., 2015",TA,ikdc,36,81.1,23.1
18.0,"Butt et al., 2024",HT,ikdc,30,89.7,5.7
18.0,"Butt et al., 2024",PLT,ikdc,30,89.9,9.8
19.0,"Calvert et al., 2025",HT,ikdc,92,92.0,8.0
19.0,"Calvert et al., 2025",QT,ikdc,89,89.0,10.0
32.0,"Guglielmetti et al., 2021",BPTB,ikdc,31,88.75,9.27
32.0,"Guglielmetti et al., 2021",HT,ikdc,31,91.0,9.07
36.0,"Horstmann et al., 2022",HT,ikdc,26,83.7,12.7
36.0,"Horstmann et al., 2022",QT,ikdc,23,89.3,12.2
38.0,"Iliopoulos et al., 2017",BPTB,ikdc,45,83.2,2.8
38.0,"Iliopoulos et al., 2017",HT,ikdc,45,82.78,2.8
44.0,"Komzak et al., 2022",BPTB,ikdc,36,74.2,10.2
44.0,"Komzak et al., 2022",QT,ikdc,36,78.3,10.5
51.0,"Li et al., 2015",HT,ikdc,32,87.5,3.2
51.0,"Li et al., 2015",TA,ikdc,32,83.8,6.9
53.0,"Lind et al., 2020",HT,ikdc,49,78.0,18.0
53.0,"Lind et al., 2020",QT,ikdc,47,82.0,14.0
54.0,"Lucidi et al., 2025",BPTB,ikdc,19,78.4,13.7
54.0,"Lucidi et al., 2025",HT,ikdc,20,81.6,11.9
55.0,"Lui et al., 2012",BPTB,ikdc,14,71.9,15.2
55.0,"Lui et al., 2012",HT,ikdc,17,73.1,12.3
56.0,"Lund et al., 2014",BPTB,ikdc,18,75.0,13.0
56.0,"Lund et al., 2014",QT,ikdc,21,76.0,16.0
58.0,"Malik et al., 2026",HT,ikdc,25,78.9,7.4
58.0,"Malik et al., 2026",PLT,ikdc,25,82.6,6.3
62.0,"Matsumoto et al., 2006",BPTB,ikdc,37,84.3,11.0
62.0,"Matsumoto et al., 2006",HT,ikdc,35,86.8,8.3
68.0,"Moraiti et al., 2010",BPTB,ikdc,6,92.0,7.0
68.0,"Moraiti et al., 2010",HT,ikdc,6,90.0,10.0
73.0,"Papalia et al., 2015",BPTB,ikdc,20,86.9,11.7
73.0,"Papalia et al., 2015",HT,ikdc,20,90.97,5.1
84.0,"Sinding et al., 2020",HT,ikdc,43,76.0,15.0
84.0,"Sinding et al., 2020",QT,ikdc,42,76.0,17.0
85.0,"Smith et al., 2020",BPTB,ikdc,32,89.4,9.2
85.0,"Smith et al., 2020",HT,ikdc,32,94.8,6.4
87.0,"Sonnery-cottet et al., 2026",BPTB,ikdc,296,89.4,10.9
87.0,"Sonnery-cottet et al., 2026",HT,ikdc,297,91.0,10.3
89.0,"Tang et al., 2023",HT,ikdc,16,90.13,6.99
89.0,"Tang et al., 2023",QT,ikdc,17,87.12,6.61
93.0,"Vilchez-cavazos et al., 2020",BPTB,ikdc,14,90.0,1.76
93.0,"Vilchez-cavazos et al., 2020",QT,ikdc,14,88.17,2.49
96.0,"Wipfler et al., 2011",BPTB,ikdc,29,86.72,2.27
96.0,"Wipfler et al., 2011",HT,ikdc,25,92.95,1.99
100.0,"Zaffagnini et al., 2011",BPTB,ikdc,40,82.0,20.0
100.0,"Zaffagnini et al., 2011",HT,ikdc,39,88.0,9.0
