id,study,subgroup,outcome,n,mean,sd,min,q1,median,q3,max
1,"Ageberg et al., 2009",BPTB,tegner,16,4.17,1.41,2,,4,,7
1,"Ageberg et al., 2009",HT,tegner,20,3.15,1.34,1,,3,,6
2,"Aglietti et al., 2004",BPTB,instrumented_laxity,60,2.20,1.08,0,,,,5
2,"Aglietti et al., 2004",HT,instrumented_laxity,60,1.95,1.30,-1,,,,5
3,"Ahldén et al., 2009",BPTB,lysholm,25,80.70,21.64,15,,89,,100
3,"Ahldén et al., 2009",BPTB,tegner,25,4.87,2.29,0,,5,,9
3,"Ahldén et al., 2009",BPTB,instrumented_laxity,25,2.60,3.30,,,,,
3,"Ahldén et al., 2009",HT,lysholm,22,79.16,13.35,49,,81,,100
3,"Ahldén et al., 2009",HT,tegner,22,4.86,1.31,2,,5,,7
3,"Ahldén et al., 2009",HT,instrumented_laxity,22,1.40,2.60,,,,,
5,"Anderson et al., 2001",BPTB,instrumented_laxity,35,2.10,2.00,,,,,
5,"Anderson et al., 2001",HT,instrumented_laxity,33,3.10,2.30,,,,,
7,"Aune et al., 2001",BPTB,instrumented_laxity,32,3.30,2.60,,,,,
7,"Aune et al., 2001",HT,instrumented_laxity,29,2.90,2.40,,,,,
9,"Barenius et al., 2010",BPTB,tegner,78,5.80,1.87,0,,6,,9
9,"Barenius et al., 2010",BPTB,lysholm,78,85.82,11.83,43,,88,,100
9,"Barenius et al., 2010",HT,tegner,75,4.07,1.88,0,,4,,9
9,"Barenius et al., 2010",HT,lysholm,75,86.42,12.53,40,,89,,100
10,"Barié et al., 2020",BPTB,ikdc,43,91.00,7.30,,,,,
10,"Barié et al., 2020",BPTB,lysholm,43,95.20,6.60,,,,,
10,"Barié et al., 2020",BPTB,tegner,43,6.10,1.14,4,,6,,9
10,"Barié et al., 2020",BPTB,instrumented_laxity,43,1.05,1.36,,,,,
10,"Barié et al., 2020",QT,ikdc,43,92.00,11.50,,,,,
10,"Barié et al., 2020",QT,lysholm,43,95.60,7.80,,,,,
10,"Barié et al., 2020",QT,tegner,43,6.10,1.14,4,,6,,9
10,"Barié et al., 2020",QT,instrumented_laxity,43,1.00,1.10,,,,,
12,"Bi et al., 2018",HT,ikdc,62,90.40,7.10,,,,,
12,"Bi et al., 2018",HT,instrumented_laxity,62,1.71,0.57,,,,,
12,"Bi et al., 2018",PLT,ikdc,62,89.30,8.40,,,,,
