id,study,subgroup,ni,xi,sdi
6,"Anz et al., 2023",BPTB,16,0,0.13
6,"Anz et al., 2023",HT,16,0,0.13
43,"Kautzner et al., 2015",BPTB,74,0,0.06
43,"Kautzner et al., 2015",HT,73,2,0.30
49,"Laxdal et al., 2005",BPTB,40,1,0.24
49,"Laxdal et al., 2005",HT,78,2,0.42
54,"Lucidi et al., 2025",BPTB,19,7,2.72
54,"Lucidi et al., 2025",HT,20,3,0.92
66,"Mohtadi et al., 2016",BPTB,110,19,2.25
66,"Mohtadi et al., 2016",HT,110,24,2.99
76,"Pinczewski et al., 2007",BPTB,90,7,0.86
76,"Pinczewski et al., 2007",HT,90,12,1.52
77,"Popovic et al., 2024",BPTB,38,3,0.62
77,"Popovic et al., 2024",HT,33,4,0.89
85,"Smith et al., 2020",BPTB,32,0,0.09
85,"Smith et al., 2020",HT,32,2,0.47
87,"Sonnery-cottet et al., 2026",BPTB,273,12,0.79
87,"Sonnery-cottet et al., 2026",HT,283,12,0.78
90,"Taylor et al., 2009",BPTB,32,3,0.68
90,"Taylor et al., 2009",HT,32,4,0.91
96,"Wipfler et al., 2011",BPTB,29,3,0.72
96,"Wipfler et al., 2011",HT,25,3,0.80
97,"Yadav et al., 2025",HT,36,1,0.26
97,"Yadav et al., 2025",QT,33,0,0.09
