,id,study,subgroup,ni,0,1+,2+,3+
0,2,"Aglietti et al., 2004",BPTB,60,50.0,10.0,0,0
1,2,"Aglietti et al., 2004",HT,60,49.0,11.0,0,0
2,5,"Anderson et al., 2001",BPTB,35,17.0,3.0,8,7
3,5,"Anderson et al., 2001",HT,70,34.0,9.0,16,11
4,11,"Beynnon et al., 2002",BPTB,22,19.0,3.0,0,0
5,11,"Beynnon et al., 2002",HT,22,13.0,3.0,6,0
6,12,"Bi et al., 2018",HT,62,58.0,3.0,1,0
7,12,"Bi et al., 2018",PLT,62,57.0,5.0,0,0
8,13,"Björnsson et al., 2016",BPTB,60,34.0,14.0,12,0
9,13,"Björnsson et al., 2016",HT,86,58.0,15.0,12,1
10,25,"Eriksson et al., 2001",BPTB,42,36.0,6.0,0,0
11,25,"Eriksson et al., 2001",HT,47,28.0,19.0,0,0
12,26,"Feller & Webster, 2003",BPTB,42,40.0,2.0,0,0
13,26,"Feller & Webster, 2003",HT,47,38.0,9.0,0,0
14,32,"Guglielmetti et al., 2021",BPTB,31,24.0,5.0,0,2
15,32,"Guglielmetti et al., 2021",HT,31,20.0,8.0,2,1
16,33,"Harilainen et al., 2006",BPTB,37,33.0,4.0,0,0
17,33,"Harilainen et al., 2006",HT,37,33.0,3.0,1,0
18,34,"Heijne & Werner, 2010",BPTB,30,17.0,10.0,3,0
19,34,"Heijne & Werner, 2010",HT,29,8.0,13.0,7,1
20,36,"Horstmann et al., 2022",HT,26,26.0,0.0,0,0
21,36,"Horstmann et al., 2022",QT,23,23.0,0.0,0,0
22,37,"Ibrahim et al., 2005",BPTB,40,35.0,5.0,0,0
23,37,"Ibrahim et al., 2005",HT,45,37.0,8.0,0,0
24,41,"Jansson et al., 2003",BPTB,43,40.0,3.0,0,0
25,41,"Jansson et al., 2003",HT,46,43.0,3.0,0,0
26,46,"Laoruengthana et al., 2009",BPTB,15,13.0,2.0,0,0
27,46,"Laoruengthana et al., 2009",HT,13,11.0,2.0,0,0
28,47,"Lawhorn et al., 2012",HT,54,48.0,5.0,0,1
29,51,"Li et al., 2015",HT,32,28.0,4.0,0,0
30,51,"Li et al., 2015",TA,32,23.0,8.0,1,0
31,53,"Lind et al., 2020",HT,49,38.0,11.0,0,0
32,53,"Lind et al., 2020",QT,47,39.0,8.0,0,0
33,70,"Noh et al., 2011",HT,33,27.0,5.0,1,0
34,70,"Noh et al., 2011",AT,32,21.0,8.0,3,0
35,76,"Pinczewski et al., 2007",BPTB,53,48.0,5.0,0,0
36,76,"Pinczewski et al., 2007",HT,58,50.0,8.0,0,0
37,77,"Popovic et al., 2024",BPTB,38,,,1,0
38,77,"Popovic et al., 2024",HT,33,,,3,0
39,82,"Sajovic et al., 2018",BPTB,24,19.0,5.0,0,0
40,82,"Sajovic et al., 2018",HT,24,18.0,6.0,0,0
41,97,"Yadav et al., 2025",HT,36,31.0,4.0,1,0
42,97,"Yadav et al., 2025",QT,33,33.0,0.0,0,0
43,98,"Yoo et al., 2017",HT,68,42.0,24.0,2,0
44,98,"Yoo et al., 2017",TA,64,31.0,30.0,1,2
