id,study,subgroup,outcome,n,mean,sd
2.0,"Aglietti et al., 2004",BPTB,instrumented_laxity,60,2.2,1.08
2.0,"Aglietti et al., 2004",HT,instrumented_laxity,60,1.95,1.3
3.0,"Ahldén et al., 2009",BPTB,instrumented_laxity,25,2.6,3.3
3.0,"Ahldén et al., 2009",HT,instrumented_laxity,22,1.4,2.6
5.0,"Anderson et al., 2001",BPTB,instrumented_laxity,35,2.1,2.0
5.0,"Anderson et al., 2001",HT,instrumented_laxity,33,3.1,2.3
7.0,"Aune et al., 2001",BPTB,instrumented_laxity,32,3.3,2.6
7.0,"Aune et al., 2001",HT,instrumented_laxity,29,2.9,2.4
10.0,"Barié et al., 2020",BPTB,instrumented_laxity,43,1.05,1.36
10.0,"Barié et al., 2020",QT,instrumented_laxity,43,1.0,1.1
12.0,"Bi et al., 2018",HT,instrumented_laxity,62,1.71,0.57
12.0,"Bi et al., 2018",PLT,instrumented_laxity,62,1.85,0.77
23.0,"Ejerhed et al., 2003",BPTB,instrumented_laxity,32,2.29,3.99
23.0,"Ejerhed et al., 2003",HT,instrumented_laxity,34,2.47,3.47
25.0,"Eriksson et al., 2001",BPTB,instrumented_laxity,42,0.95,0.91
25.0,"Eriksson et al., 2001",HT,instrumented_laxity,47,1.1,0.95
26.0,"Feller & Webster, 2003",BPTB,instrumented_laxity,27,0.5,1.0
26.0,"Feller & Webster, 2003",HT,instrumented_laxity,21,1.1,1.2
30.0,"Gifstad et al., 2013",BPTB,instrumented_laxity,41,1.4,1.8
30.0,"Gifstad et al., 2013",HT,instrumented_laxity,36,1.4,1.4
33.0,"Harilainen et al., 2006",BPTB,instrumented_laxity,37,1.5,3.0
33.0,"Harilainen et al., 2006",HT,instrumented_laxity,37,1.2,3.9
35.0,"Holm et al., 2010",BPTB,instrumented_laxity,28,3.0,3.2
35.0,"Holm et al., 2010",HT,instrumented_laxity,29,2.0,3.5
36.0,"Horstmann et al., 2022",HT,instrumented_laxity,26,0.2,2.2
36.0,"Horstmann et al., 2022",QT,instrumented_laxity,23,0.7,1.1
41.0,"Jansson et al., 2003",BPTB,instrumented_laxity,43,1.7,2.63
41.0,"Jansson et al., 2003",HT,instrumented_laxity,46,1.2,2.65
43.0,"Kautzner et al., 2015",BPTB,instrumented_laxity,74,0.6,0.21
43.0,"Kautzner et al., 2015",HT,instrumented_laxity,73,0.5,0.42
45.0,"Konrads et al., 2016",BPTB,instrumented_laxity,24,1.8,0.51
45.0,"Konrads et al., 2016",HT,instrumented_laxity,23,2.2,0.78
46.0,"Laoruengthana et al., 2009",BPTB,instrumented_laxity,15,1.22,0.69
46.0,"Laoruengthana et al., 2009",HT,instrumented_laxity,13,0.96,0.42
49.0,"Laxdal et al., 2005",BPTB,instrumented_laxity,40,1.0,3.01
,"Laxdal et al., 2005",HT,instrumented_laxity,78,1.5,3.12
51.0,"Li et al., 2015",HT,instrumented_laxity,32,2.1,1.6
51.0,"Li et al., 2015",TA,instrumented_laxity,32,3.5,1.2
52.0,"Lidén et al., 2007",BPTB,instrumented_laxity,30,2.3,3.06
52.0,"Lidén et al., 2007",HT,instrumented_laxity,32,2.7,3.39
53.0,"Lind et al., 2020",HT,instrumented_laxity,49,1.9,1.7
53.0,"Lind et al., 2020",QT,instrumented_laxity,47,1.8,1.0
54.0,"Lucidi et al., 2025",BPTB,instrumented_laxity,19,-0.1,1.6
54.0,"Lucidi et al., 2025",HT,instrumented_laxity,20,1.5,1.2
55.0,"Lui et al., 2012",BPTB,instrumented_laxity,14,3.7,1.4
55.0,"Lui et al., 2012",HT,instrumented_laxity,17,3.1,1.6
56.0,"Lund et al., 2014",BPTB,instrumented_laxity,18,1.1,1.4
56.0,"Lund et al., 2014",QT,instrumented_laxity,21,0.8,1.7
58.0,"Malik et al., 2026",HT,instrumented_laxity,25,2.1,1.0
58.0,"Malik et al., 2026",PLT,instrumented_laxity,25,1.8,0.9
62.0,"Matsumoto et al., 2006",BPTB,instrumented_laxity,37,1.2,2.1
62.0,"Matsumoto et al., 2006",HT,instrumented_laxity,35,1.7,1.4
76.0,"Pinczewski et al., 2007",BPTB,instrumented_laxity,54,1.2,1.69
76.0,"Pinczewski et al., 2007",HT,instrumented_laxity,58,1.6,1.55
77.0,"Popovic et al., 2024",BPTB,instrumented_laxity,38,1.3,2.2
77.0,"Popovic et al., 2024",HT,instrumented_laxity,33,1.5,3.3
85.0,"Smith et al., 2020",BPTB,instrumented_laxity,32,0.0,0.8
85.0,"Smith et al., 2020",HT,instrumented_laxity,32,0.3,0.7
87.0,"Sonnery-cottet et al., 2026",BPTB,instrumented_laxity,296,1.2,1.4
87.0,"Sonnery-cottet et al., 2026",HT,instrumented_laxity,297,0.9,1.0
95.0,"Webster et al., 2001",BPTB,instrumented_laxity,23,1.1,0.65
95.0,"Webster et al., 2001",HT,instrumented_laxity,31,1.7,0.97
96.0,"Wipfler et al., 2011",BPTB,instrumented_laxity,29,0.9,0.27
96.0,"Wipfler et al., 2011",HT,instrumented_laxity,25,0.64,0.36
97.0,"Yadav et al., 2025",HT,instrumented_laxity,36,3.77,2.01
97.0,"Yadav et al., 2025",QT,instrumented_laxity,33,2.73,1.64
100.0,"Zaffagnini et al., 2011",BPTB,instrumented_laxity,40,0.4,0.6
100.0,"Zaffagnini et al., 2011",HT,instrumented_laxity,39,1.1,1.9
