id,study,subgroup,outcome,n,mean,sd
3.0,"Ahldén et al., 2009",BPTB,lysholm,25,80.7,21.64
3.0,"Ahldén et al., 2009",HT,lysholm,22,79.16,13.35
9.0,"Barenius et al., 2010",BPTB,lysholm,78,85.82,11.83
9.0,"Barenius et al., 2010",HT,lysholm,75,86.42,12.53
10.0,"Barié et al., 2020",BPTB,lysholm,43,95.2,6.6
10.0,"Barié et al., 2020",QT,lysholm,43,95.6,7.8
13.0,"Björnsson et al., 2016",BPTB,lysholm,61,79.4,16.9
13.0,"Björnsson et al., 2016",HT,lysholm,86,80.7,15.3
18.0,"Butt et al., 2024",HT,lysholm,30,95.1,5.2
18.0,"Butt et al., 2024",PLT,lysholm,30,94.5,6.4
19.0,"Calvert et al., 2025",HT,lysholm,92,94.0,7.0
19.0,"Calvert et al., 2025",QT,lysholm,89,93.0,8.0
23.0,"Ejerhed et al., 2003",BPTB,lysholm,32,89.96,13.06
23.0,"Ejerhed et al., 2003",HT,lysholm,34,86.79,11.71
32.0,"Guglielmetti et al., 2021",BPTB,lysholm,31,89.87,9.17
32.0,"Guglielmetti et al., 2021",HT,lysholm,31,91.26,9.36
,"Harilainen et al., 2006",BPTB,lysholm,37,89.11,15.53
,"Harilainen et al., 2006",HT,lysholm,37,95.0,15.53
35.0,"Holm et al., 2010",BPTB,lysholm,28,84.2,15.4
35.0,"Holm et al., 2010",HT,lysholm,29,86.1,15.1
36.0,"Horstmann et al., 2022",HT,lysholm,26,83.5,17.4
36.0,"Horstmann et al., 2022",QT,lysholm,23,90.4,11.9
37.0,"Ibrahim et al., 2005",BPTB,lysholm,40,91.6,3.94
37.0,"Ibrahim et al., 2005",HT,lysholm,46,92.7,3.62
38.0,"Iliopoulos et al., 2017",BPTB,lysholm,45,95.8,2.4
38.0,"Iliopoulos et al., 2017",HT,lysholm,45,94.0,3.6
43.0,"Kautzner et al., 2015",BPTB,lysholm,74,88.0,7.5
43.0,"Kautzner et al., 2015",HT,lysholm,73,90.0,7.6
44.0,"Komzak et al., 2022",BPTB,lysholm,36,93.4,9.6
44.0,"Komzak et al., 2022",QT,lysholm,36,90.1,6.7
45.0,"Konrads et al., 2016",BPTB,lysholm,24,92.0,8.99
45.0,"Konrads et al., 2016",HT,lysholm,23,91.8,9.33
49.0,"Laxdal et al., 2005",BPTB,lysholm,40,94.0,18.09
,"Laxdal et al., 2005",HT,lysholm,78,92.0,13.4
51.0,"Li et al., 2015",HT,lysholm,32,91.3,11.5
51.0,"Li et al., 2015",TA,lysholm,32,88.7,8.6
52.0,"Lidén et al., 2007",BPTB,lysholm,30,81.0,18.38
52.0,"Lidén et al., 2007",HT,lysholm,32,90.0,12.1
54.0,"Lucidi et al., 2025",BPTB,lysholm,19,84.8,10.3
54.0,"Lucidi et al., 2025",HT,lysholm,20,88.6,8.3
55.0,"Lui et al., 2012",BPTB,lysholm,14,84.0,13.47
55.0,"Lui et al., 2012",HT,lysholm,17,80.0,15.59
58.0,"Malik et al., 2026",HT,lysholm,25,85.1,6.4
58.0,"Malik et al., 2026",PLT,lysholm,25,89.4,5.8
68.0,"Moraiti et al., 2010",BPTB,lysholm,6,96.0,3.0
68.0,"Moraiti et al., 2010",HT,lysholm,6,95.0,5.0
70.0,"Noh et al., 2011",HT,lysholm,33,98.0,3.61
70.0,"Noh et al., 2011",AT,lysholm,32,99.0,3.63
73.0,"Papalia et al., 2015",BPTB,lysholm,20,87.4,13.8
73.0,"Papalia et al., 2015",HT,lysholm,20,93.17,10.3
77.0,"Popovic et al., 2024",BPTB,lysholm,38,82.0,15.45
77.0,"Popovic et al., 2024",HT,lysholm,33,85.0,14.67
87.0,"Sonnery-cottet et al., 2026",BPTB,lysholm,296,89.0,12.4
87.0,"Sonnery-cottet et al., 2026",HT,lysholm,297,91.1,11.9
89.0,"Tang et al., 2023",HT,lysholm,16,90.06,7.33
89.0,"Tang et al., 2023",QT,lysholm,17,90.0,4.26
90.0,"Taylor et al., 2009",BPTB,lysholm,21,90.3,12.19
90.0,"Taylor et al., 2009",HT,lysholm,23,90.4,12.75
93.0,"Vilchez-cavazos et al., 2020",BPTB,lysholm,14,96.0,2.93
93.0,"Vilchez-cavazos et al., 2020",QT,lysholm,14,95.33,2.64
96.0,"Wipfler et al., 2011",BPTB,lysholm,29,87.28,1.76
96.0,"Wipfler et al., 2011",HT,lysholm,25,91.82,1.71
97.0,"Yadav et al., 2025",HT,lysholm,36,92.4,3.36
97.0,"Yadav et al., 2025",QT,lysholm,33,88.2,4.32
98.0,"Yoo et al., 2017",HT,lysholm,68,96.0,6.99
98.0,"Yoo et al., 2017",TA,lysholm,64,93.0,5.78
