id,study,subgroup,outcome,n,mean,sd
1.0,"Ageberg et al., 2009",BPTB,tegner,16,4.17,1.41
1.0,"Ageberg et al., 2009",HT,tegner,20,3.15,1.34
3.0,"Ahldén et al., 2009",BPTB,tegner,25,4.87,2.29
3.0,"Ahldén et al., 2009",HT,tegner,22,4.86,1.31
9.0,"Barenius et al., 2010",BPTB,tegner,78,5.8,1.87
9.0,"Barenius et al., 2010",HT,tegner,75,4.07,1.88
10.0,"Barié et al., 2020",BPTB,tegner,43,6.1,1.14
10.0,"Barié et al., 2020",QT,tegner,43,6.1,1.14
13.0,"Björnsson et al., 2016",BPTB,tegner,61,4.1,1.7
13.0,"Björnsson et al., 2016",HT,tegner,86,4.0,1.7
14.0,"Bottoni et al., 2015",HT,tegner,44,5.1,2.2
14.0,"Bottoni et al., 2015",TA,tegner,36,5.1,2.0
23.0,"Ejerhed et al., 2003",BPTB,tegner,32,5.77,1.94
23.0,"Ejerhed et al., 2003",HT,tegner,34,6.39,1.43
33.0,"Harilainen et al., 2006",BPTB,tegner,37,5.89,2.12
33.0,"Harilainen et al., 2006",HT,tegner,37,6.0,1.41
34.0,"Heijne & Werner, 2010",BPTB,tegner,30,6.64,2.21
34.0,"Heijne & Werner, 2010",HT,tegner,29,5.0,1.48
41.0,"Jansson et al., 2003",BPTB,tegner,43,5.98,1.6
41.0,"Jansson et al., 2003",HT,tegner,46,5.82,2.26
45.0,"Konrads et al., 2016",BPTB,tegner,24,5.9,1.28
45.0,"Konrads et al., 2016",HT,tegner,23,5.1,1.04
49.0,"Laxdal et al., 2005",BPTB,tegner,40,6.0,1.85
,"Laxdal et al., 2005",HT,tegner,78,4.0,1.64
51.0,"Li et al., 2015",HT,tegner,32,7.3,1.3
51.0,"Li et al., 2015",TA,tegner,32,7.0,2.1
52.0,"Lidén et al., 2007",BPTB,tegner,30,5.0,1.72
52.0,"Lidén et al., 2007",HT,tegner,32,6.0,1.69
53.0,"Lind et al., 2020",HT,tegner,49,5.9,1.3
53.0,"Lind et al., 2020",QT,tegner,47,6.0,1.5
54.0,"Lucidi et al., 2025",BPTB,tegner,19,3.0,1.08
54.0,"Lucidi et al., 2025",HT,tegner,20,4.0,0.8
58.0,"Malik et al., 2026",HT,tegner,25,5.1,1.0
58.0,"Malik et al., 2026",PLT,tegner,25,5.6,0.9
70.0,"Noh et al., 2011",HT,tegner,33,6.0,0.96
70.0,"Noh et al., 2011",AT,tegner,32,6.0,1.21
77.0,"Popovic et al., 2024",BPTB,tegner,38,4.0,1.64
77.0,"Popovic et al., 2024",HT,tegner,33,5.0,2.16
87.0,"Sonnery-cottet et al., 2026",BPTB,tegner,296,6.6,1.6
87.0,"Sonnery-cottet et al., 2026",HT,tegner,297,6.7,1.7
90.0,"Taylor et al., 2009",BPTB,tegner,20,6.8,3.27
90.0,"Taylor et al., 2009",HT,tegner,24,5.3,3.58
96.0,"Wipfler et al., 2011",BPTB,tegner,29,6.2,0.35
96.0,"Wipfler et al., 2011",HT,tegner,25,6.14,0.37
98.0,"Yoo et al., 2017",HT,tegner,68,5.0,1.48
98.0,"Yoo et al., 2017",TA,tegner,64,5.0,1.07
