,id,study,reason_for_exclusion
7,8,barenius_2010,Duplicate report of the same study.
14,15,brand_2000,Did not report any of the specified outcomes.
16,17,buescu_2017,Did not report any of the specified outcomes.
19,20,carter_edinger_1999,Did not report any of the specified outcomes.
20,21,covey_2018,Did not report any of the specified outcomes.
23,24,eriksson_2001,Duplicate report of the same study.
26,27,garcia-linage_2025,Non-English.
28,29,ghalayini_2010,Did not compare at least two of the specified subgroups.
38,39,irrgang_2021,Did not compare at least two of the specified subgroups.
39,40,jansson_1999,Duplicate report of the same study.
41,42,johns_2026,Did not report any of the specified outcomes.
47,48,laxdal_2004,Duplicate report of the same study.
58,59,martin_2024,Did not report any of the specified outcomes.
59,60,martin-alguacil_2018,Duplicate report of the same study.
60,61,martin-alguacil_2019,Did not report any of the specified outcomes.
62,63,mccormack_2006,Did not report any of the specified outcomes.
63,64,mohammadi_2013,Did not report any of the specified outcomes.
64,65,mohtadi_2016a,Duplicate report of the same study.
68,69,mouzopoulos_2015,Did not report any of the specified outcomes.
70,71,nurmi_2004,Did not report any of the specified outcomes.
73,74,pässler_2015,Non-English.
74,75,pigozzi_2004,Did not report any of the specified outcomes.
77,78,röpke_2001,Non-English.
78,79,sajovic_2006,Duplicate report of the same study.
79,80,sajovic_2008,Duplicate report of the same study.
80,81,sajovic_2011,Duplicate report of the same study.
82,83,sato_2005,Did not report any of the specified outcomes.
87,88,sumanont_2024,Did not report any of the specified outcomes.
90,91,tibesku_2003,Non-English.
91,92,vendrig_2026,Did not report any of the specified outcomes.
93,94,wasserman_2017,Did not report any of the specified outcomes.
98,99,zaffagnini_2006,Duplicate report of the same study.
