,id,study,subgroup,outcome,ni,xi,sdi
0,1,ageberg_2009,hamstring,tegner,,,
1,1,ageberg_2009,patellar,instrumental laxity,,,
2,2,aglietti_2004,hamstring,lachman,,,
3,2,aglietti_2004,hamstring,pivot shift,,,
4,2,aglietti_2004,hamstring,instrumental laxity,,,
5,2,aglietti_2004,patellar,lachman,,,
6,2,aglietti_2004,patellar,pivot shift,,,
7,2,aglietti_2004,patellar,instrumental laxity,,,
8,3,ahldén_2009,hamstring,lachman,,,
9,3,ahldén_2009,hamstring,lysholm,,,
10,3,ahldén_2009,hamstring,tegner,,,
11,3,ahldén_2009,hamstring,instrumental laxity,,,
12,3,ahldén_2009,patellar,lachman,,,
13,3,ahldén_2009,patellar,lysholm,,,
14,3,ahldén_2009,patellar,tegner,,,
15,3,ahldén_2009,patellar,instrumental laxity,,,
16,4,akelman_2016,hamstring,instrumental laxity,,,
17,4,akelman_2016,patellar,ikdc,,,
18,5,anderson_2001,hamstring,instrumental laxity,,,
19,5,anderson_2001,hamstring,pivot shift,,,
20,5,anderson_2001,hamstring,ikdc,,,
21,5,anderson_2001,patellar,instrumental laxity,,,
22,5,anderson_2001,patellar,pivot shift,,,
23,5,anderson_2001,patellar,graft rupture,,,
24,6,anz_2023,hamstring,graft rupture,,,
25,6,anz_2023,patellar,instrumental laxity,,,
26,7,aune_2001,hamstring,instrumental laxity,,,
27,7,aune_2001,patellar,ikdc,,,
28,9,barenius_2014,hamstring,instrumental laxity,,,
29,9,barenius_2014,hamstring,lachman,,,
30,9,barenius_2014,hamstring,lysholm,,,
31,9,barenius_2014,hamstring,pivot shift,,,
32,9,barenius_2014,hamstring,ikdc,,,
33,9,barenius_2014,patellar,instrumental laxity,,,
34,9,barenius_2014,patellar,lachman,,,
35,9,barenius_2014,patellar,lysholm,,,
36,9,barenius_2014,patellar,pivot shift,,,
37,9,barenius_2014,patellar,graft rupture,,,
38,10,barié_2020,patellar,ikdc,,,
39,10,barié_2020,patellar,instrumental laxity,,,
40,10,barié_2020,patellar,lysholm,,,
41,10,barié_2020,patellar,tegner,,,
42,10,barié_2020,patellar,graft rupture,,,
43,10,barié_2020,quadriceps,ikdc,,,
44,10,barié_2020,quadriceps,instrumental laxity,,,
45,10,barié_2020,quadriceps,lysholm,,,
46,10,barié_2020,quadriceps,tegner,,,
47,10,barié_2020,quadriceps,ikdc,,,
48,11,beynnon_2002,hamstring,instrumental laxity,,,
49,11,beynnon_2002,hamstring,lachman,,,
50,11,beynnon_2002,hamstring,pivot shift,,,
51,11,beynnon_2002,hamstring,tegner,,,
52,11,beynnon_2002,hamstring,ikdc,,,
53,11,beynnon_2002,patellar,instrumental laxity,,,
54,11,beynnon_2002,patellar,lachman,,,
55,11,beynnon_2002,patellar,pivot shift,,,
56,11,beynnon_2002,patellar,tegner,,,
57,11,beynnon_2002,patellar,graft rupture,,,
58,12,bi_2018,hamstring,ikdc,,,
59,12,bi_2018,hamstring,instrumental laxity,,,
60,12,bi_2018,hamstring,pivot shift,,,
61,12,bi_2018,hamstring,graft rupture,,,
62,12,bi_2018,peroneus,ikdc,,,
63,12,bi_2018,peroneus,instrumental laxity,,,
64,12,bi_2018,peroneus,pivot shift,,,
65,12,bi_2018,peroneus,ikdc,,,
66,13,björnsson_2016,hamstring,instrumental laxity,,,
67,13,björnsson_2016,hamstring,lysholm,,,
68,13,björnsson_2016,hamstring,tegner,,,
69,13,björnsson_2016,hamstring,ikdc,,,
70,13,björnsson_2016,patellar,instrumental laxity,,,
71,13,björnsson_2016,patellar,lysholm,,,
72,13,björnsson_2016,patellar,tegner,,,
73,13,björnsson_2016,patellar,ikdc,,,
74,14,bottoni_2015,hamstring,tegner,,,
75,14,bottoni_2015,hamstring,ikdc,,,
76,14,bottoni_2015,tibialis,tegner,,,
77,14,bottoni_2015,tibialis,instrumental laxity,,,
78,16,breker_2025,hamstring,instrumental laxity,,,
79,16,breker_2025,patellar,ikdc,,,
80,18,butt_2024,hamstring,lachman,,,
81,18,butt_2024,hamstring,lysholm,,,
82,18,butt_2024,hamstring,pivot shift,,,
83,18,butt_2024,hamstring,ikdc,,,
84,18,butt_2024,peroneus,lachman,,,
85,18,butt_2024,peroneus,lysholm,,,
86,18,butt_2024,peroneus,pivot shift,,,
87,18,butt_2024,peroneus,ikdc,,,
88,19,calvert_2025,hamstring,instrumental laxity,,,
89,19,calvert_2025,hamstring,ikdc,,,
90,19,calvert_2025,quadriceps,instrumental laxity,,,
91,19,calvert_2025,quadriceps,graft rupture,,,
92,22,cruz_2022,hamstring,graft rupture,,,
93,22,cruz_2022,tibialis,instrumental laxity,,,
94,23,ejerhed_2003,hamstring,lachman,,,
95,23,ejerhed_2003,hamstring,lysholm,,,
96,23,ejerhed_2003,hamstring,tegner,,,
97,23,ejerhed_2003,hamstring,instrumental laxity,,,
98,23,ejerhed_2003,patellar,lachman,,,
99,23,ejerhed_2003,patellar,lysholm,,,
100,23,ejerhed_2003,patellar,tegner,,,
101,23,ejerhed_2003,patellar,instrumental laxity,,,
102,25,eriksson_2006,hamstring,pivot shift,,,
103,25,eriksson_2006,hamstring,instrumental laxity,,,
104,25,eriksson_2006,patellar,pivot shift,,,
105,25,eriksson_2006,patellar,ikdc,,,
