,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,42301400,2026 Jun 16,2026 Jun 16,Sports Med Open,"['Liu C', 'Lu W', 'Liu X', 'Yuan D', 'Hong Z', 'Bi Q', 'Li Y', 'Xiao W']",Xiao W,The Influence of Different Autologous Tendons on the Recovery of Knee Muscle Strength Following Anterior Cruciate Ligament Reconstruction: A Systematic Review and Network Meta-analysis.,12,1,,['English'],101662568,2199-1170,2198-9761,"['Journal Article', 'Systematic Review']",PubMed,epublish,"['42301400', 'PMC13272697', 'pmc-id: PMC13272697;', '10.1186/s40798-026-01043-8', '10.1186/s40798-026-01043-8']",10.1186/s40798-026-01043-8,"['2025/03/26 00:00', '2026/05/26 00:00', '2026/06/16 13:33', '2026/06/16 13:32', '2026/06/16 11:07', '2026/06/16 00:00']",[],1,84,Sports medicine - open,doi: 10.1186/s40798-026-01043-8,2026 Jun 16;12(1),"BACKGROUND: Outcomes of anterior cruciate ligament reconstruction (ACLR) vary significantly depending on autograft selection, particularly in restoring knee flexor and extensor strength, which are essential for athletic performance. The aim of this study was to investigate the impact of ACLR with different autografts on the recovery of knee flexor and extensor muscle strength. Subgroup analyses by follow-up duration were performed to characterize recovery across postoperative phases. METHODS: A frequentist network meta-analysis of randomized controlled trials (RCT) and observational studies was conducted. Databases (PubMed, Embase, Web of Science, Cochrane Library) were searched from inception to January 2025. Eligible studies reported isokinetic strength outcomes after ACLR. The primary outcome was the limb symmetry index (LSI) for peak torque, which represented the ratio of injured-limb strength to uninjured-limb strength, reflecting inter-limb symmetry. Secondary outcomes were peak torque, the hamstring-to-quadriceps (H/Q) ratio and side-to-side deficit. Risk of bias (RoB) was assessed using the Cochrane RoB and the Risk of Bias Assessment Tool for Non-randomized Studies (RoBANS). Certainty of evidence was graded using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) framework. Graft performance was ranked using surface under the cumulative ranking curve (SUCRA) probabilities, and mean differences (MDs) with 95% confidence intervals (CIs) were calculated. RESULTS: Thirty-one studies involving 2384 patients were included in the quantitative analysis. For knee extensor strength, assessed using LSI at 60 degrees /s, 4-strand semitendinosus tendon (4S-ST) and 4-strand hamstring tendon (4S-HT) autografts outperformed bone-patella tendon-bone (BPTB) and quadriceps tendon (QT) autografts. At 180 degrees /s, the 4S-HT autograft showed higher knee extensor strength LSI than the QT autograft, significantly outperformed the BPTB autograft at long-term follow-up (>/= 18 months), and consistently ranked highest according to SUCRA. The BPTB autograft also showed higher knee extensor strength LSI than the QT autograft. For knee flexor strength (LSI, at 60 degrees /s and 180 degrees /s), the QT autograft outperformed the 4S-HT autograft, with SUCRA consistently identifying the QT autograft as the top-ranked option and the 4S-HT autograft as the lowest-ranked option. No significant intergroup LSI differences were observed at short-term follow-up (</= 6 months), whereas QT autograft's superiority in knee flexor strength became evident in the mid-term follow-up (6-12 months). The 4S-ST autograft may be superior to 4S-HT autograft in knee flexor strength LSI. Network inconsistency tests showed no significant inconsistency. However, GRADE assessments rated the certainty of evidence for comparisons of knee extensor and flexor strength between autografts as very low to low. CONCLUSIONS: The 4S-HT autograft was associated with greater knee extensor strength LSI, whereas the QT autograft had the most consistent advantage in knee flexor strength LSI. The 4S-ST autograft ranked between these grafts, but may provide greater knee flexor strength LSI than the 4S-HT autograft. The BPTB autograft was associated with greater knee extensor strength LSI than the QT autograft. Given the very low to low certainty of evidence, these findings should be interpreted with caution. PROSPERO REGISTRATION NUMBER: CRD42024530838.",2026
1,41818333,2026 Jun 3,2026 Mar 12,J Bone Joint Surg Am,"['Vosoughi F', 'Younesian S', 'Mousavi SM', 'Shaker F', 'Menbari Oskouie I']",Menbari Oskouie I,Comparison of Autograft Types in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Bayesian Network Meta-Analysis of Randomized Clinical Trials.,108,11,822-834,['English'],0014030,0021-9355,1535-1386,"['Journal Article', 'Systematic Review', 'Network Meta-Analysis', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41818333', '10.2106/JBJS.25.01315', '00004623-990000000-01739']",10.2106/JBJS.25.01315,"['2026/06/07 13:43', '2026/03/12 18:53', '2026/03/12 14:04']",[],1,0,The Journal of bone and joint surgery. American volume,doi: 10.2106/JBJS.25.01315,2026 Jun 3;108(11):822-834,"BACKGROUND: The literature regarding optimal autograft choice for anterior cruciate ligament (ACL) reconstruction (ACLR) remains inconclusive. This network meta-analysis (NMA) compares common autografts for primary ACLR. METHODS: PubMed, Scopus, Web of Science, and Embase were searched up to May 3, 2025, for randomized clinical trials (RCTs) on primary ACLR in adults that compared >/=2 of the following tendon autografts: 4-strand semitendinosus (4SST), 4-strand semitendinosus-gracilis (4SSTG), its 5-strand variant (5SSTG), bone-patellar tendon-bone (BPTB), quadriceps tendon with bone (QTB), and free quadriceps tendon (FQT). Outcomes analyzed in the NMA were the International Knee Documentation Committee (IKDC) subjective score, Lysholm score, Tegner Activity Scale, anteroposterior (instrumented) and rotational (pivot-shift) stability, and rerupture or revision ACLR rate. Autografts were ranked using surface under the cumulative ranking (SUCRA) values. RESULTS: A total of 44 RCTs with 3,491 patients were included in the NMA. With respect to the IKDC, QTB was statistically superior to BPTB (mean difference = 3.46, 95% credible interval [CrI]: 0.29 to 6.77), although the difference was likely not clinically meaningful. QTB ranked highest for the IKDC (SUCRA = 90.1%) and Tegner (SUCRA = 85.3%), while BPTB ranked lowest for the IKDC and Lysholm. With respect to knee laxity, QTB ranked second in anteroposterior and first in rotational stability, and it carried a significantly lower risk of a 2+ or higher pivot-shift than 4SST (risk ratio = 0.26, 95% CrI: 0.07 to 0.85). QTB was associated with a decreased risk of rerupture/revision compared with other autografts (SUCRA = 83.3%). CONCLUSIONS: Based on the autograft rankings, QTB was found to lead to improved functional, activity-related, and stability outcomes overall, while also reducing the risk of graft failure. LEVEL OF EVIDENCE: Therapeutic Level I . See Instructions for Authors for a complete description of levels of evidence.",2026
2,41733058,2026 May,2026 Feb 24,Knee Surg Sports Traumatol Arthrosc,"['Zhao B', 'Zhao W', 'Chen L', 'Wang B', 'Zhang L', 'Cheng A', 'Kang S']",Kang S,"Comparative effectiveness of neuromuscular, virtual reality, proprioceptive, blood flow restriction and conventional training after ACL reconstruction: A network meta-analysis of randomized controlled trials.",34,5,1863-1884,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Network Meta-Analysis', 'Systematic Review', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['41733058', '10.1002/ksa.70345']",10.1002/ksa.70345,"['2026/01/12 00:00', '2025/08/01 00:00', '2026/01/21 00:00', '2026/04/28 17:38', '2026/02/24 18:46', '2026/02/24 06:32']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.70345,2026 May;34(5):1863-1884,"PURPOSE: Quadriceps atrophy and post-operative pain are common following anterior cruciate ligament reconstruction (ACLR) and can hinder functional recovery. This study aimed to systematically compare the effectiveness of neuromuscular training (NMT), virtual reality training (VRT), proprioceptive training (PT), blood flow restriction training (BFRT) and conventional rehabilitation training (CRT) in individuals undergoing rehabilitation after ACLR. METHODS: A systematic review and network meta-analysis (NMA) were conducted in accordance with PRISMA-NMA guidelines. Six databases (PubMed, EMBASE, Cochrane Library, Web of Science, CNKI and Wanfang) were searched for randomized controlled trials (RCTs) published up to 1 May 2025. Risk of bias was assessed using the Cochrane RoB 2.0 tool. A frequentist NMA was performed in Stata 17.0MP to estimate standardized mean differences (SMDs) and 95% confidence intervals (CIs). Interventions were ranked using surface under the cumulative ranking curve (SUCRA) values. The certainty of evidence was appraised using the CINeMA framework. RESULTS: Twenty-two RCTs involving 972 participants (mean age 23-39 years) were included. Compared with CRT, VRT showed favourable outcomes in visual analogue scale for pain (SMD = -0.72, 95% CI = [-1.22 to -0.22], SUCRA = 86.5%), functional hop tests (SMD = 1.26, 95% CI = [0.46-2.05], SUCRA = 97.5%) and isokinetic muscle strength (60 degrees /s) (SMD = 2.24, 95% CI = [1.28-3.20], SUCRA = 99.6%). BFRT also outperformed CRT in several outcomes, including the International Knee Documentation Committee Subjective Knee Evaluation Form (SMD = 1.37, 95% CI = [0.77-1.96], SUCRA = 81.8%), Lysholm Score (SMD = 1.07, 95% CI = [0.16-1.97], SUCRA = 74.7%) and knee range of motion (SMD = 1.42, 95% CI = [0.80-2.04], SUCRA = 99.1%), with relatively high SUCRA values. Compared with CRT, NMT demonstrated modest improvements in the Functional Hop Tests (SMD = 0.29) and the Lysholm Score (SMD = 1.00). Certainty of evidence ranged from moderate to low, primarily due to imprecision and risk of bias. CONCLUSIONS: VRT and BFRT may offer benefits across several domains of post-operative rehabilitation following ACLR, with NMT also showing potential. However, given the limitations in evidence certainty, further high-quality RCTs are warranted to confirm these findings and inform clinical practice. LEVEL OF EVIDENCE: Level I.",2026
3,41190954,2025 Nov 5,2025 Nov 5,Knee Surg Sports Traumatol Arthrosc,"['Liu X', 'Li X', 'Li D', 'Fan Z', 'Liu H', 'Liu H', 'Ge Z', 'Zhang J', 'Jiu J', 'Li R', 'Zhuang Z', 'Li S', 'Du G', 'Jia L', 'Ren Y', 'Li JJ', 'Yan L', 'Wang B']",Wang B,Clinical effects of different remnant-preserving versus standard nonpreserving techniques in anterior cruciate ligament reconstruction: A systematic review and meta-analysis.,,,,['English'],9314730,0942-2056,1433-7347,['Journal Article'],PubMed - as supplied by publisher,aheadofprint,"['41190954', '10.1002/ksa.70177']",10.1002/ksa.70177,"['2025/10/07 00:00', '2025/07/02 00:00', '2025/10/08 00:00', '2025/11/05 12:32', '2025/11/05 12:32', '2025/11/05 10:03']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.70177,2025 Nov 5;,"PURPOSE: In anterior cruciate ligament reconstruction (ACLR), the clinical benefits and limitations of nonpreserving versus different remnant-preserving ACLR are not well defined. There is also a lack of systematic analysis of ACL remnant length. METHODS: Database searches were performed in PubMed, Embase, Web of Science and Cochrane CENTRAL from inception to 25 April 2025. Risk of bias was assessed using the Cochrane Collaboration's tool and the Newcastle-Ottawa scale (NOS) critical appraisal tools. Certainty of evidence was evaluated using the grading of recommendations assessment, development and evaluation (GRADE) framework. The reported outcomes used for analysis included stability-related indicators, functional scores, synovial coverage and complications. Subgroup analyses were performed across three remnant-preserving surgical approaches: Augmentation, tension and sparing. Meta-regression and network meta-analyses were performed to investigate whether improved outcomes were associated with remnant length. Sensitivity analysis was used to assess the robustness of the results. RESULTS: Our analysis included 36 articles. For stability, the remnant-preserving (R) group showed improved outcomes compared to the nonremnant (NR) group in the Lachman test (weighted mean difference [WMD] = 1.61, p = 0.0003), Side-to-side anterior laxity (SSD, WMD = -0.27, p = 0.03) and Pivot shift test (WMD = 1.34, p = 0.03), with the highest improvement observed in the Sparing subgroup. For functional scoring, the R group exhibited significantly higher Lysholm knee scoring scale scores (WMD = 1.52, p = 0.01), Tegner athletic ability evaluation score (WMD = 0.40, p < 0.00001), and International Knee Documentation Committee (IKDC) subjective scores (WMD = 1.00, p = 0.001), with the Tension subgroup showing the highest overall improvement. The R group also achieved better synovial coverage (odds ratio [OR] = 2.00, p = 0.0004) and lower failure (OR = 0.48, p = 0.002), particularly in the augmentation subgroup. Meta-regression indicated a correlation between increased graft length and reduced SSD (beta = -1.33, p = 0.01), improved IKDC scores (beta = 20.03, p = 0.01), and fewer complications (beta = -2.61, p = 0.01). Network meta-analysis indicated a 75% remnant preservation ratio minimised SSD alongside enhanced functional scores. CONCLUSION: Remnant-preserving ACLR showed improvements in stability and synovial coverage. However, in terms of clinical outcomes, the improvement in functional recovery has not reached a significant level. Sparing exceled in improving stability, while augmentation effectively reduced failure and tension favoured function. Increasing remnant preservation length significantly improved stability and function concomitantly reducing complications. CLINICAL TRIALS: CRD42024550746. LEVEL OF EVIDENCE: Level III.",2025
4,40953143,2025 Nov 5,2025 Sep 15,J Bone Joint Surg Am,"['Chung K', 'Han JH', 'Jung SH', 'Moon HS', 'Jung M', 'Kim SH']",Kim SH,Hamstring Tendon Versus Bone-Patellar Tendon-Bone Autograft for ACL Reconstruction with Concurrent Lateral Extra-Articular Procedure: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials.,107,21,2425-2436,['English'],0014030,0021-9355,1535-1386,"['Journal Article', 'Systematic Review', 'Comparative Study', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40953143', '10.2106/JBJS.25.00068', '00004623-202511050-00013']",10.2106/JBJS.25.00068,"['2025/11/05 12:33', '2025/09/15 18:34', '2025/09/15 14:03']",[],1,0,The Journal of bone and joint surgery. American volume,doi: 10.2106/JBJS.25.00068,2025 Nov 5;107(21):2425-2436,"BACKGROUND: No studies have yet evaluated the clinical outcomes of different anterior cruciate ligament (ACL) autografts in combination with a lateral extra-articular procedure (LEP). Thus, we systematically reviewed randomized controlled trials (RCTs) and conducted a network meta-analysis (NMA) to compare graft options for ACL reconstruction (ACLR) with concurrent LEP. METHODS: A systematic search in the PubMed, Embase, Cochrane Library, and Google Scholar databases identified RCTs on primary ACLR plus LEP. Data on ACLR failure, residual knee instability, patient-reported outcome measures, and complications were analyzed using NMA. RESULTS: On the basis of 13 studies (1,690 patients), ACLR with a hamstring tendon (HT) autograft plus LEP was associated with significantly lower odds of graft rupture (odds ratio [OR]: 0.28; 95% confidence interval [CI]: 0.16 to 0.50), graft failure (OR: 0.27; 95% CI: 0.15 to 0.47), clinical failure (OR: 0.48; 95% CI: 0.36 to 0.65), and residual pivot shift (OR: 0.43; 95% CI: 0.22 to 0.84) compared with isolated ACLR. Bone-patellar tendon-bone (BPTB) autograft plus LEP was associated with a significantly lower clinical failure rate (OR: 0.30; 95% CI: 0.12 to 0.80) compared with isolated ACLR. Both HT (mean difference [MD]: 2.40; 95% CI: 1.25 to 3.55) and BPTB (MD: 3.70; 95% CI: 0.85 to 6.55) autograft plus LEP were associated with higher Lysholm scores compared with isolated ACLR. The outcomes did not differ between the graft types when combined with LEP. CONCLUSIONS: The odds of graft rupture, graft failure, and clinical failure after ACLR with HT autograft plus LEP were lower by 72%, 73%, and 52%, respectively, than the odds after isolated ACLR. ACLR with BPTB autograft plus LEP significantly lowered only the odds of clinical failure, by approximately 70%, potentially due to the smaller sample size. Both grafts remain viable options for ACLR plus LEP, with the benefit of LEP requiring further validation. LEVEL OF EVIDENCE: Therapeutic Level I . See Instructions for Authors for a complete description of levels of evidence.",2025
5,40665533,2025 Oct,2025 Jul 15,J Sports Sci,"['Lo CS', 'Chen KC', 'Shih JC', 'Cheng B', 'Chao WC']",Chao WC,Integrating psychological and physical assessments to obtain optimal return-to-sport outcomes after ACL reconstruction: A systematic review and network meta-analysis.,43,20,2404-2417,['English'],8405364,0264-0414,1466-447X,"['Journal Article', 'Network Meta-Analysis', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['40665533', '10.1080/02640414.2025.2534224']",10.1080/02640414.2025.2534224,"['2025/09/24 06:29', '2025/07/16 06:25', '2025/07/16 00:53']",[],1,0,Journal of sports sciences,doi: 10.1080/02640414.2025.2534224,2025 Oct;43(20):2404-2417,"This study evaluated the relative effectiveness of using different return-to-sport (RTS) assessments to improve clinical decision-making following anterior cruciate ligament reconstruction (ACLR), focusing on physical, psychological, and subjective measures. A network meta-analysis of 12 studies (1889 participants) assessed various RTS criteria, including the Anterior Cruciate Ligament-Return to Sport after Injury (ACL-RSI) scale (psychological readiness), the International Knee Documentation Committee (IKDC) questionnaire (subjective knee function), hop test (physical function), and limb symmetry indices (LSI) for extension (EXT-LSI) and flexion (FLEX-LSI). The primary outcome was the effectiveness of these criteria in predicting successful RTS, and the secondary outcomes included dropout rates and inconsistencies in the data. The ACL-RSI scale was most effective for predicting RTS success (effect size: 1.55; 95% CI: 1.24 to 1.87). Physical tests like the hop test and LSI were moderately effective, with FLEX-LSI being the least effective. There were no significant differences in dropout rates across the RTS criteria. Sensitivity analyses confirmed the stability of these results. Findings highlight the critical role of psychological readiness in RTS outcomes. Clinicians are encouraged to adopt a multi-dimentional approach, integrating both psychological and physical assessments, to improve decision-making and reduce the risk of re-injury after ACLR.",2025
6,39126286,2025 Mar,2024 Aug 10,Knee Surg Sports Traumatol Arthrosc,"['Malesa K', 'Tramś E', 'Kuliński K', 'Kamiński R']",Kamiński R,The effectiveness of quadrupled semitendinosus graft technique in anterior cruciate ligament reconstruction: A network meta-analysis assessing various graft preparation techniques.,33,3,907-925,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Systematic Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['39126286', '10.1002/ksa.12421']",10.1002/ksa.12421,"['2024/07/24 00:00', '2024/03/29 00:00', '2024/07/26 00:00', '2025/02/24 12:27', '2024/08/10 15:45', '2024/08/10 05:53']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12421,2025 Mar;33(3):907-925,"PURPOSE: This study aims to perform a network meta-analysis of hamstring graft preparation techniques to enhance anterior cruciate ligament (ACL) reconstruction guidelines and inform clinical decision-making in patients with primary ACL rupture. METHODS: A review of the literature, from 1 January 1990, to 31 August 2023, was conducted following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines, focusing on the clinical outcomes of various hamstring graft preparation techniques. Forty-six studies (over 4800 knees) were analysed. Eight graft compositions: doubled hamstring (ST/G)-1978 grafts, doubled hamstring with augmentation (ST/G+A)-586 grafts, tripled semitendinosus (3ST)-124 grafts, quadrupled semitendinosus (4ST)-1273 grafts, five-strand tripled semitendinosus + doubled gracilis (3ST/2GR-839 grafts, six-strand tripled semitendinosus + tripled gracilis (3ST/3GR)-335 grafts, seven-strand quadrupled semitendinosus + tripled gracilis (4ST/3GR)-11 grafts and >/=eight strands-24 grafts were compared, considering graft sizes, laxity, muscle strength, range-of-motion, patient-reported outcome measures (PROMs), return to sport (RTS) and adverse events. RESULTS: The 4ST grafts fared better than the ST/G grafts in the International Knee Documentation Committee (IKDC), Knee Injury and Osteoarthritis Outcome Score (KOOS) Sport, KOOS Q and RTS (mean difference [MD], -1.69; p = 0.0159; MD, -1.55; p = 0.0325; MD, -1.93; p = 0.001; odds ratio: 3.13; p < 0.0001). The IKDC differed significantly between the 4ST and ST/G+A groups (MD, 1.88; p = 0.046). The ST/G+A resulted in the lowest knee laxity, surpassing the ST/G, 3ST and 4ST. The ST/G had the smallest diameter (ST/G vs. ST/G+A: MD, 1.26; 95% confidence interval [CI]: 0.67-1.86, p < 0.0001). Reduced failure rates were noted with the 3ST/2GR (3ST/2GR vs. ST/G: MD, 6.93; p = 0.009) and 3ST/3GR (3ST/3GR vs. ST/G: MD, 53.64; p = 0.006). CONCLUSION: The ideal hamstring graft for ACLR should be individualized. A 4ST graft is likely to yield good PROMs. For high stability and rapid RTS, adding augmentation to the graft is advisable. The ST/G is the thinnest graft possible. LEVEL OF EVIDENCE: Network meta-analysis of level I-III studies.",2025
7,37000243,2023 Aug,2023 Mar 31,Knee Surg Sports Traumatol Arthrosc,"['Kunze KN', 'Moran J', 'Polce EM', 'Pareek A', 'Strickland SM', 'Williams RJ 3rd']",Williams RJ 3rd,Lower donor site morbidity with hamstring and quadriceps tendon autograft compared with bone-patellar tendon-bone autograft after anterior cruciate ligament reconstruction: a systematic review and network meta-analysis of randomized controlled trials.,31,8,3339-3352,['English'],9314730,0942-2056,1433-7347,"['Systematic Review', 'Journal Article', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['37000243', '10.1007/s00167-023-07402-2', '10.1007/s00167-023-07402-2']",10.1007/s00167-023-07402-2,"['2022/12/09 00:00', '2023/03/20 00:00', '2023/07/21 06:44', '2023/04/01 06:00', '2023/03/31 11:15']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-023-07402-2,2023 Aug;31(8):3339-3352,"PURPOSE: To perform a meta-analysis of RCTs evaluating donor site morbidity after bone-patellar tendon-bone (BTB), hamstring tendon (HT) and quadriceps tendon (QT) autograft harvest for anterior cruciate ligament reconstruction (ACLR). METHODS: PubMed, OVID/Medline and Cochrane databases were queried in July 2022. All level one articles reporting the frequency of specific donor-site morbidity were included. Frequentist model network meta-analyses with P-scores were conducted to compare the prevalence of donor-site morbidity, complications, all-cause reoperations and revision ACLR among the three treatment groups. RESULTS: Twenty-one RCTs comprising the outcomes of 1726 patients were included. The overall pooled rate of donor-site morbidity (defined as anterior knee pain, difficulty/impossibility kneeling, or combination) was 47.3% (range, 3.8-86.7%). A 69% (95% confidence interval [95% CI]: 0.18-0.56) and 88% (95% CI: 0.04-0.33) lower odds of incurring donor-site morbidity was observed with HT and QT autografts, respectively (p < 0.0001, both), when compared to BTB autograft. QT autograft was associated with a non-statistically significant reduction in donor-site morbidity compared with HT autograft (OR: 0.37, 95% CI: 0.14-1.03, n.s.). Treatment rankings (ordered from best-to-worst autograft choice with respect to donor-site morbidity) were as follows: (1) QT (P-score = 0.99), (2) HT (P-score = 0.51) and (3) BTB (P-score = 0.00). No statistically significant associations were observed between autograft and complications (n.s.), reoperations (n.s.) or revision ACLR (n.s.). CONCLUSION: ACLR using HT and QT autograft tissue was associated with a significant reduction in donor-site morbidity compared to BTB autograft. Autograft selection was not associated with complications, all-cause reoperations, or revision ACLR. Based on the current data, there is sufficient evidence to recommend that autograft selection should be personalized through considering differential rates of donor-site morbidity in the context of patient expectations and activity level without concern for a clinically important change in the rate of adverse events. LEVEL OF EVIDENCE: Level I.",2023
8,36708747,2023 May,2023 Jan 26,Arthroscopy,"['Liu H', 'Song X', 'Li C', 'Li Y', 'Guo W', 'Zhang H']",Zhang H,Femoral Nerve Block and Local Instillation Analgesia Associated With More Reliable Efficacy in Regional Anesthesia Interventions Within 24 Hours Following Anterior Cruciate Ligament Reconstruction: A Network Meta-analysis.,39,5,1273-1295,['English'],8506498,0749-8063,1526-3231,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['36708747', '10.1016/j.arthro.2022.12.014', 'S0749-8063(22)00839-8']",10.1016/j.arthro.2022.12.014,"['2022/01/23 00:00', '2022/11/26 00:00', '2022/12/01 00:00', '2023/04/07 10:18', '2023/01/29 06:00', '2023/01/28 19:23']","['Arthroscopy. 2023 May;39(5):1296-1298. doi: 10.1016/j.arthro.2023.01.018. PMID: 37019539', 'Arthroscopy. 2023 Dec;39(12):2403-2404. doi: 10.1016/j.arthro.2023.08.014. PMID: 37981383']",1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2022.12.014,2023 May;39(5):1273-1295,"PURPOSE: To assess the relative effectiveness of different regional anesthetic techniques (peripheral nerve blocks, local instillation analgesia, including intra-articular, subcutaneous, and periarticular infiltration) in patients undergoing anterior cruciate ligament reconstruction (ACLR). METHODS: PubMed, Embase, Cochrane Library, and Web of Science databases were searched from their inception to December 31, 2020. The search was supplemented by manual review of relevant reference lists. Randomized controlled trials of participants after ACLR that compared regional anesthesia interventions were selected. The 2 coprimary outcomes were (1) rest pain scores and (2) cumulative oral morphine equivalent consumption on day 1 (24 hours) post-ACLR. Data were pooled using a Bayesian framework. RESULTS: Of 759 records identified, 46 trials were eligible, evaluating 9 interventions in 3,171 patients. Local instillation analgesia (LIA), including intra-articular, subcutaneous, and periarticular infiltration, had significant improvement in pain relief as compared with placebo (-0.91; 95% CrI -1.45 to -0.37). Femoral nerve block (FNB) also showed significant effects in relieving pain as compared with placebo (-0.70; 95% 95% credible interval [CrI] -1.28 to -0.12). Compared with placebo, a significant reduction in opioid consumption was found in LIA (mean difference -13.29 mg; 95% CrI -21.77 to -4.91) and FNB (mean difference -13.97 mg; 95% CrI -24.71 to -3.04). Femoral and sciatic nerve block showed the greatest ranking for pain relief and opioid consumption without significant evidence (P > .05) to support superiority in comparison with placebo, respectively. CONCLUSIONS: Our meta-analysis shows that FNB and LIA can significantly diminish postoperative pain and reduce opioid consumption following ACLR compared with placebo in the setting of regional anesthesia, and femoral and sciatic nerve block may be the number 1 top-ranked analgesic technique despite high uncertainty. LEVEL OF EVIDENCE: I, Systematic review of Level I studies.",2023
9,35996336,2022 Aug 23,2022 Aug 23,Med Sci Monit,"['Wu Y', 'Li Y', 'Guo J', 'Li Q', 'Wu J', 'Cao Z', 'Song Y']",Song Y,Optimal Surgical Treatment Method for Anterior Cruciate Ligament Rupture: Results from a Network Meta-Analysis.,28,,e937118,['English'],9609063,1234-1010,1643-3750,"['Journal Article', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,epublish,"['35996336', 'PMC9422452', 'pmc-id: PMC9422452;', '10.12659/MSM.937118', '937118']",10.12659/MSM.937118,"['2022/08/23 01:22', '2022/08/24 06:00', '2022/08/25 06:00', '2022/08/23 00:00']",[],1,63,Medical science monitor : international medical journal of experimental and clinical research,doi: 10.12659/MSM.937118,2022 Aug 23;28:e937118,"BACKGROUND Previous studies have shown that primary repair (PR) and anterior cruciate ligament reconstruction (ACLR) can effectively treat ACL injuries. Our study aimed to compare different treatments of ACL tears, including autograft, allograft, hybrid graft ACLR, and PR, by assessing clinical outcomes and adverse events. MATERIAL AND METHODS PubMed, Cochrane Library, Embase, and CNKI databases were searched and a frequentist-framework network meta-analysis was used. RESULTS Overall, PR with augmentation was superior to ACLR only for activity recovery (WMD 0.28 95%CI [0.07 to 0.49]), and there was no significant difference shown between PR without augmentation and ACLR. ACLR with irradiated allograft was a poor option for the treatment of ACL rupture, showing the weakest subjective evaluations and functional outcomes and worst safety profile. PR with or without augmentation provided fairly good postoperative efficacy results and produced less postoperative knee laxity than irradiated allograft ACLR (PR: standardized mean difference [SMD] -1.27 [-1.80 to -0.74]; ACLR: SMD -1.36 [-1.88 to -0.83]). However, PR without augmentation showed a high failure rate compared with autograft ACLR (autograft vs PR without augmentation: risk ratio 0.29 [0.10 to 0.85]). CONCLUSIONS For surgical treatment of ACL rupture, irradiated allograft ACLR had the worst efficacy and safety and is not recommended. PR may be an ideal treatment method in terms of efficacy but it is related to a significantly higher revision risk if without augmentation. Autograft ACLR may be the preferred method currently available for most patients requiring surgical treatment of ACL rupture.",2022
